STD_YYYYMM,SIDO,비염환자(질병),아토피환자(질병),천식환자(질병),평균기온(기후),상대습도(기후),증기압(기후),최고기온(기후),최저기온(기후),풍속(기후),미세먼지,미세먼지(농도),미세먼지(농도80),초미세먼지,초미세먼지(농도),초미세먼지(농도35),아황산가스,아황산가스(농도0.05),아황산가스(농도),이산화질소,이산화질소(농도0.06),이산화질소(농도0.03),이산화질소(농도),일산화탄소,일산화탄소(농도9),일산화탄소(농도),차량수,구리(중금속),구리(농도),납(중금속),납(농도0.5),납(농도),니켈(중금속),니켈(농도),망간(중금속),망간(농도),비소(중금속),비소(농도),철(중금속),철(농도),카드뮴(중금속),카드뮴(농도),크롬(중금속),크롬(농도),비염환자(질병)_코로나증감폭,아토피환자(질병)_코로나증감폭,천식환자(질병)_코로나증감폭,평균기온(기후)_코로나증감폭,상대습도(기후)_코로나증감폭,증기압(기후)_코로나증감폭,최고기온(기후)_코로나증감폭,최저기온(기후)_코로나증감폭,풍속(기후)_코로나증감폭,미세먼지_코로나증감폭,초미세먼지_코로나증감폭,아황산가스_코로나증감폭,이산화질소_코로나증감폭,일산화탄소_코로나증감폭,구리(중금속)_코로나증감폭,납(중금속)_코로나증감폭,니켈(중금속)_코로나증감폭,망간(중금속)_코로나증감폭,비소(중금속)_코로나증감폭,철(중금속)_코로나증감폭,카드뮴(중금속)_코로나증감폭,크롬(중금속)_코로나증감폭
201511,서울특별시,419879,24792,56090,8.9,73.0,8.6,12.7,5.9,2.7,33.0,좋음,좋음,21.0,좋음,좋음,0.005,좋음,나쁨,0.034,좋음,나쁨,나쁨,0.6,좋음,나쁨,3052968.0,0.0186,나쁨,0.0066,좋음,좋음,0.0008,좋음,0.0091,좋음,0.0016,좋음,0.3401,좋음,0.0005,좋음,0.0019,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201512,서울특별시,475370,27713,66398,1.6,60.0,4.3,6.0,-2.1,2.3,48.0,나쁨,좋음,28.0,나쁨,좋음,0.006,좋음,나쁨,0.039,좋음,나쁨,나쁨,0.7,좋음,나쁨,3056588.0,0.0313,나쁨,0.0203,좋음,좋음,0.0026,좋음,0.0226,좋음,0.0065,나쁨,0.7064,나쁨,0.0014,나쁨,0.0039,나쁨,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201601,서울특별시,398187,27132,51760,-3.2,53.0,2.8,1.1,-6.8,2.5,50.0,나쁨,좋음,27.0,나쁨,좋음,0.006,좋음,나쁨,0.035,좋음,나쁨,나쁨,0.6,좋음,나쁨,3063247.0,0.0256,나쁨,0.0338,좋음,나쁨,0.0024,좋음,0.0202,좋음,0.0105,나쁨,0.6971,나쁨,0.0016,나쁨,0.003,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201602,서울특별시,430340,25837,59765,0.2,52.0,3.5,5.1,-4.1,2.8,45.0,나쁨,좋음,23.0,나쁨,좋음,0.006,좋음,나쁨,0.034,좋음,나쁨,나쁨,0.6,좋음,나쁨,3063683.0,0.0258,나쁨,0.0348,좋음,나쁨,0.0032,좋음,0.0261,좋음,0.0057,나쁨,0.8942,나쁨,0.0011,나쁨,0.0028,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201603,서울특별시,447576,29586,61129,7.0,51.0,5.2,12.6,2.4,2.4,64.0,나쁨,좋음,32.0,나쁨,좋음,0.006,좋음,나쁨,0.038,좋음,나쁨,나쁨,0.6,좋음,나쁨,3066050.0,0.0219,나쁨,0.022,좋음,좋음,0.0052,나쁨,0.0267,좋음,0.0076,나쁨,0.9769,나쁨,0.0009,나쁨,0.0029,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201604,서울특별시,437627,29507,60238,14.1,55.0,8.3,20.3,9.1,2.4,71.0,나쁨,좋음,30.0,나쁨,좋음,0.005,좋음,나쁨,0.036,좋음,나쁨,나쁨,0.5,좋음,나쁨,3069594.0,0.0339,나쁨,0.036,좋음,나쁨,0.0077,나쁨,0.0307,나쁨,0.0056,나쁨,1.038,나쁨,0.0011,나쁨,0.004,나쁨,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201605,서울특별시,328617,32345,50714,19.6,56.0,12.0,25.7,14.1,2.4,56.0,나쁨,좋음,29.0,나쁨,좋음,0.005,좋음,나쁨,0.031,좋음,나쁨,나쁨,0.5,좋음,나쁨,3073263.0,0.0263,나쁨,0.0169,좋음,좋음,0.0025,좋음,0.025,좋음,0.008,나쁨,0.749,나쁨,0.0007,좋음,0.003,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201606,서울특별시,252007,31103,36576,23.6,63.0,17.9,28.7,19.5,2.1,46.0,나쁨,좋음,28.0,나쁨,좋음,0.005,좋음,나쁨,0.028,좋음,좋음,나쁨,0.4,좋음,좋음,3079041.0,0.0341,나쁨,0.0247,좋음,나쁨,0.0067,나쁨,0.0298,좋음,0.0062,나쁨,0.8106,나쁨,0.0011,나쁨,0.0045,나쁨,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201607,서울특별시,250025,32131,33312,26.2,73.0,24.4,29.8,23.3,2.1,33.0,좋음,좋음,21.0,좋음,좋음,0.004,좋음,좋음,0.024,좋음,좋음,나쁨,0.4,좋음,좋음,3079928.0,0.0207,나쁨,0.0133,좋음,좋음,0.0028,좋음,0.0147,좋음,0.0021,좋음,0.4154,좋음,0.0005,좋음,0.0022,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201608,서울특별시,297537,34595,39103,28.0,64.0,24.0,32.6,24.5,2.1,34.0,좋음,좋음,22.0,나쁨,좋음,0.004,좋음,좋음,0.023,좋음,좋음,나쁨,0.4,좋음,좋음,3078045.0,0.034,나쁨,0.0224,좋음,나쁨,0.0039,나쁨,0.0275,좋음,0.0044,나쁨,0.5466,좋음,0.0006,좋음,0.0033,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
