,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
1,52047,48243,52283,51527,53291,50776,53139,52234,49990,53976,52888,52267,55016,48312,51685,54637,53673,51252,55970,53831,51979,55768,53098,54312,53152,49957,50978,50796,50910,53628,54279,51610,53288,51827,52144,53542,50567,49384,55584,54388,52366,55421,55130,54780,54455,54113,55365,55483,53783,50022,54227,53303,54742,53650,53863,55277,53317,52908,55000,53634
