,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
1,290449,219877,245707,272769,259876,208763,178626,168388,205999,251266,280530,298908,249477,199420,231322,263139,263528,203990,191761,173545,207085,242014,250937,271199,253980,195587,159600,143614,148450,141597,135662,121303,140990,145084,150092,139602,121070,117541,143915,152555,141789,133991,118190,116302,129356,149440,164600,152946,150922,135660,153847,166203,157963,146813,143085,140008,160556,178362,178725,181525
