,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
1,212913,140104,155550,208903,215173,155343,119313,108513,132795,166836,219577,246269,172165,122306,148144,198999,211824,160770,141341,128239,163838,217966,253105,269400,223288,139460,80714,58253,60475,64553,61444,54255,53383,60510,75791,61993,47073,45179,63119,73860,71380,65282,53475,44119,59590,94087,107352,92975,117042,88611,90003,88811,78806,83941,87796,84394,124572,152758,140485,136083
