STD_YYYYMM,SIDO,GEN,AGG,CNT,CNT_SUM,AVG_PM2.5
201706,부산광역시,1,0,76,97652,26.0
201707,부산광역시,1,0,39,87050,23.0
201708,부산광역시,1,0,46,99176,16.0
201709,부산광역시,1,0,45,163184,23.0
201710,부산광역시,1,0,52,152329,16.0
201711,부산광역시,1,0,56,195268,27.0
201712,부산광역시,1,0,40,232007,28.0
201801,부산광역시,1,0,31,198788,28.0
201802,부산광역시,1,0,45,129200,30.0
201803,부산광역시,1,0,60,168569,26.0
201804,부산광역시,1,0,39,169549,28.0
201805,부산광역시,1,0,48,127391,24.0
201806,부산광역시,1,0,38,99888,25.0
201807,부산광역시,1,0,27,86217,23.0
201808,부산광역시,1,0,46,88749,14.0
201809,부산광역시,1,0,56,165641,14.0
201810,부산광역시,1,0,48,185160,17.0
201811,부산광역시,1,0,44,171246,26.0
201812,부산광역시,1,0,28,200429,23.0
201901,부산광역시,1,0,34,143538,29.0
201902,부산광역시,1,0,48,123824,28.0
201903,부산광역시,1,0,46,168318,30.0
201904,부산광역시,1,0,50,174414,20.0
201905,부산광역시,1,0,36,134896,25.0
201906,부산광역시,1,0,40,91641,21.0
201907,부산광역시,1,0,33,94916,18.0
201908,부산광역시,1,0,26,94287,19.0
201909,부산광역시,1,0,51,154613,13.0
201910,부산광역시,1,0,39,180171,13.0
201911,부산광역시,1,0,22,179480,17.0
201912,부산광역시,1,0,25,195409,23.0
202001,부산광역시,1,0,32,176458,21.0
202002,부산광역시,1,0,20,99019,22.0
202003,부산광역시,1,0,8,62391,16.0
202004,부산광역시,1,0,18,57016,17.0
202005,부산광역시,1,0,63,70900,17.0
202006,부산광역시,1,0,69,81564,15.0
202007,부산광역시,1,0,13,63788,10.0
202008,부산광역시,1,0,20,57103,19.0
202009,부산광역시,1,0,17,87032,13.0
202010,부산광역시,1,0,51,100364,15.0
202011,부산광역시,1,0,44,102419,17.0
202012,부산광역시,1,0,8,65014,21.0
202101,부산광역시,1,0,9,47680,19.0
202102,부산광역시,1,0,33,58901,21.0
202103,부산광역시,1,0,64,107688,21.0
202104,부산광역시,1,0,23,93487,15.0
202105,부산광역시,1,0,16,64650,16.0
202106,부산광역시,1,0,33,58880,15.0
202107,부산광역시,1,0,21,53207,9.0
202108,부산광역시,1,0,11,52403,10.0
202109,부산광역시,1,0,58,98114,8.0
202110,부산광역시,1,0,33,120452,12.0
202111,부산광역시,1,0,28,119948,18.0
202112,부산광역시,1,0,25,93433,19.0
202201,부산광역시,1,0,20,97603,21.0
202202,부산광역시,1,0,15,127475,19.0
202203,부산광역시,1,0,26,169640,21.0
202204,부산광역시,1,0,25,100979,16.0
202205,부산광역시,1,0,44,76241,17.0
202206,부산광역시,1,0,21,66662,10.0
202207,부산광역시,1,0,16,84759,12.0
202208,부산광역시,1,0,16,100201,10.0
202209,부산광역시,1,0,24,104144,10.0
202210,부산광역시,1,0,30,128208,11.0
202211,부산광역시,1,0,14,141279,19.0
202212,부산광역시,1,0,7,154856,18.0
201501,대구광역시,1,0,120,98788,33.0
201502,대구광역시,1,0,131,108950,33.0
201503,대구광역시,1,0,190,134991,29.0
201504,대구광역시,1,0,184,116901,22.0
201505,대구광역시,1,0,144,83072,25.0
