"관측지점별","항목","단위","2000.01 월","2000.02 월","2000.03 월","2000.04 월","2000.05 월","2000.06 월","2000.07 월","2000.08 월","2000.09 월","2000.10 월","2000.11 월","2000.12 월","2001.01 월","2001.02 월","2001.03 월","2001.04 월","2001.05 월","2001.06 월","2001.07 월","2001.08 월","2001.09 월","2001.10 월","2001.11 월","2001.12 월","2002.01 월","2002.02 월","2002.03 월","2002.04 월","2002.05 월","2002.06 월","2002.07 월","2002.08 월","2002.09 월","2002.10 월","2002.11 월","2002.12 월","2003.01 월","2003.02 월","2003.03 월","2003.04 월","2003.05 월","2003.06 월","2003.07 월","2003.08 월","2003.09 월","2003.10 월","2003.11 월","2003.12 월","2004.01 월","2004.02 월","2004.03 월","2004.04 월","2004.05 월","2004.06 월","2004.07 월","2004.08 월","2004.09 월","2004.10 월","2004.11 월","2004.12 월","2005.01 월","2005.02 월","2005.03 월","2005.04 월","2005.05 월","2005.06 월","2005.07 월","2005.08 월","2005.09 월","2005.10 월","2005.11 월","2005.12 월","2006.01 월","2006.02 월","2006.03 월","2006.04 월","2006.05 월","2006.06 월","2006.07 월","2006.08 월","2006.09 월","2006.10 월","2006.11 월","2006.12 월","2007.01 월","2007.02 월","2007.03 월","2007.04 월","2007.05 월","2007.06 월","2007.07 월","2007.08 월","2007.09 월","2007.10 월","2007.11 월","2007.12 월","2008.01 월","2008.02 월","2008.03 월","2008.04 월","2008.05 월","2008.06 월","2008.07 월","2008.08 월","2008.09 월","2008.10 월","2008.11 월","2008.12 월","2009.01 월","2009.02 월","2009.03 월","2009.04 월","2009.05 월","2009.06 월","2009.07 월","2009.08 월","2009.09 월","2009.10 월","2009.11 월","2009.12 월","2010.01 월","2010.02 월","2010.03 월","2010.04 월","2010.05 월","2010.06 월","2010.07 월","2010.08 월","2010.09 월","2010.10 월","2010.11 월","2010.12 월","2011.01 월","2011.02 월","2011.03 월","2011.04 월","2011.05 월","2011.06 월","2011.07 월","2011.08 월","2011.09 월","2011.10 월","2011.11 월","2011.12 월","2012.01 월","2012.02 월","2012.03 월","2012.04 월","2012.05 월","2012.06 월","2012.07 월","2012.08 월","2012.09 월","2012.10 월","2012.11 월","2012.12 월","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월",
"동해","평균상대습도[%]","%","58","39","43","53","74","77","73","84","80","69","57","43","46","52","48","50","60","74","76","80","74","70","48","38","50","40","49","53","72","73","83","82","80","61","41","60","49","66","64","66","77","76","84","82","80","57","64","38","39","39","44","50","65","70","81","82","79","64","55","46","41","45","55","56","72","79","82","80","85","71","53","35","56","52","48","65","78","82","89","82","77","73","58","51","50","54","60","59","65","78","87","81","84","70","54","48","53","38","64","61","64","77","77","82","78","65","53","46","42","53","55","56","64","71","85","81","76","60","62","45","45","61","69","58","64","68","80","83","82","73","46","40","38","65","49","58","71","74","87","84","78","66","65","47","48","45","59","59","70","82","79","82","78","61","51","45","48","47","56","55","67","84","76","70","78","68","47","48","47","74","55","60","54","80","73","82","76","63","56","33","48","51","44","63","54","73","76","82","81","61","73","53","39","51","58","64","63","79","88","82","86","77","62","54","48","44","56","57","60","77","83","85","73","77","46","38","36","43","60","57","74","71","82","83","78","65","59","44","37","50","51","58","53","78","79","81","83","73","64","47","55","55","59","52","70","75","89","86","79","65","50","37","42","47","63","62","65","83","89","86","83","75","54","46","47","38","61","57","56","80","92","85","81","75","58","37",
"서울","평균상대습도[%]","%","64","56","55","56","66","65","73","79","71","64","57","58","62","60","51","50","61","71","76","69","58","65","58","49","63","55","55","53","62","62","74","79","67","60","55","60","60","62","58","60","57","69","75","77","72","61","66","59","59","56","49","51","68","64","82","70","69","54","66","56","52","49","54","53","55","69","76","75","71","65","55","51","57","53","51","55","57","68","82","69","58","62","58","59","56","53","60","53","62","61","75","75","74","63","55","60","50","46","56","50","58","65","78","70","64","62","58","56","50","57","52","54","59","66","76","69","64","62","64","60","65","59","59","54","62","62","74","78","72","61","55","56","54","55","51","54","56","67","79","74","58","55","60","51","49","43","52","54","48","54","74","68","65","58","57","57","57","54","49","54","58","60","79","69","63","58","58","60","50","52","60","60","59","73","74","77","69","63","61","56","56","59","45","54","53","60","71","70","56","60","73","60","53","52","51","55","56","63","73","64","65","62","57","59","55","54","48","52","52","57","77","71","61","56","53","56","48","45","59","55","63","63","68","65","61","59","58","46","46","47","51","51","47","61","69","69","65","62","56","58","55","58","46","50","67","67","76","85","71","60","64","58","57","56","63","54","68","73","71","74","71","70","68","62","55","55","62","55","55","73","77","80","68","69","65","59",
"인천","평균상대습도[%]","%","69","60","62","62","76","76","81","81","73","65","58","61","65","68","58","61","73","79","85","74","62","69","62","54","65","63","64","61","71","70","80","84","72","65","58","62","64","68","65","65","65","77","80","81","76","62","67","60","60","58","55","57","72","69","84","73","71","58","66","57","54","51","60","60","62","77","83","80","74","65","56","52","63","60","58","63","68","78","86","75","65","71","61","63","62","61","67","64","71","70","82","81","78","67","59","64","55","52","65","60","66","72","86","76","71","68","62","59","55","65","60","62","68","75","81","75","69","63","66","62","66","64","62","61","70","71","82","82","76","64","60","61","55","64","59","66","65","79","86","81","64","58","66","54","52","47","59","62","62","74","91","84","79","72","70","72","73","71","69","72","78","82","95","89","79","72","72","75","65","69","73","75","76","88","91","91","84","76","75","70","72","75","69","72","78","84","91","93","75","76","86","72","67","66","71","75","76","88","94","86","85","75","61","63","59","59","61","64","66","69","86","76","67","63","59","61","56","54","71","64","72","76","77","73","64","61","63","52","54","56","63","63","61","73","80","74","71","65","59","62","63","65","57","57","71","77","80","84","69","58","62","55","54","57","65","55","66","69","65","68","63","62","63","56","54","57","64","61","61","77","79","82","69","67","64","56",
"원주","평균상대습도[%]","%","69","56","53","53","66","69","75","78","77","72","66","62","64","66","55","47","56","68","74","69","62","74","66","57","66","57","53","51","61","61","73","79","73","69","59","68","64","66","60","59","59","70","78","80","79","69","72","65","65","57","51","52","66","66","80","75","75","65","71","65","56","52","56","52","61","70","78","79","76","76","64","62","66","60","52","58","61","69","81","71","69","69","66","70","63","60","64","53","62","64","76","77","80","73","67","72","62","53","62","56","59","66","75","72","67","66","65","62","60","61","55","54","59","63","74","69","69","65","65","65","66","62","62","51","57","63","74","78","76","69","54","59","55","58","50","53","56","64","78","75","68","68","64","57","58","48","53","51","53","56","73","71","74","66","64","64","63","54","58","62","64","70","82","78","78","74","72","76","67","65","60","58","58","68","71","79","72","71","71","64","68","63","47","61","55","63","72","74","67","68","79","70","57","57","51","51","53","58","71","64","68","70","64","66","60","56","50","48","50","54","75","72","67","66","59","56","54","45","56","53","63","58","66","65","67","69","67","56","49","52","53","52","45","60","68","68","70","68","64","64","63","60","49","44","60","59","70","79","73","66","61","59","61","51","58","50","66","68","71","74","73","73","67","61","58","48","59","50","51","64","74","77","68","71","66","63",
"울릉도","평균상대습도[%]","%","67","65","64","66","73","80","80","84","79","71","70","62","66","67","65","57","69","78","81","80","74","72","62","64","70","60","64","65","70","70","85","85","79","69","61","74","69","71","68","73","78","77","90","86","82","67","74","67","68","62","67","60","71","69","80","84","82","72","68","69","65","66","67","61","68","81","85","83","84","71","61","67","70","73","67","73","76","81","91","81","78","75","68","69","65","70","69","70","68","81","87","81","85","74","66","65","73","67","68","64","70","82","80","85","80","72","62","65","67","68","65","63","66","76","89","85","77","66","73","68","71","73","72","65","66","74","84","84","76","73","55","63","69","69","61","64","73","74","88","86","80","69","71","67","64","58","72","68","72","85","84","89","82","67","64","71","67","69","66","67","67","84","77","70","73","69","59","65","66","74","61","57","56","77","75","81","71","65","62","59","68","62","55","64","56","79","80","79","76","61","74","66","67","65","59","63","58","76","85","79","81","71","68","64","60","64","58","57","57","70","76","76","73","73","58","59","64","64","64","60","74","72","76","75","73","62","58","65","57","66","60","65","55","80","86","76","77","72","66","60","68","68","67","65","74","75","92","87","82","69","67","63","70","69","72","70","74","82","88","87","84","77","64","71","69","65","73","69","60","85","90","83","82","76","70","66",
"수원","평균상대습도[%]","%","66","58","57","56","68","70","75","77","72","66","60","59","61","64","56","55","64","71","77","70","59","69","63","52","63","60","59","57","64","63","74","79","70","64","58","61","61","65","62","63","61","70","75","78","74","61","66","59","61","56","50","53","66","64","80","70","70","58","67","56","52","47","54","55","57","71","77","76","71","66","57","52","59","54","51","57","60","69","82","68","59","67","58","60","65","66","70","64","69","69","82","82","81","70","65","71","59","56","68","61","66","74","86","78","74","75","71","67","64","71","62","65","69","74","83","78","75","71","72","67","73","69","69","65","73","73","83","86","81","74","68","69","65","70","63","66","58","73","87","83","71","70","71","63","63","56","64","66","63","67","82","78","77","71","71","70","71","65","65","67","71","73","84","81","72","69","69","72","61","61","61","63","63","74","79","81","73","69","70","60","63","64","53","63","63","66","78","78","66","71","80","67","59","59","58","63","65","73","83","73","75","72","64","67","65","60","58","60","63","67","88","81","72","68","65","62","57","54","69","65","73","72","75","72","71","73","71","56","59","61","64","63","61","71","77","72","80","79","73","76","78","81","71","69","79","77","83","88","79","70","70","64","67","64","72","62","77","78","77","81","75","72","74","65","59","58","68","61","60","69","79","84","72","71","69","71",
"영월","평균상대습도[%]","%","70","55","54","53","68","71","81","85","81","79","74","67","69","70","59","49","61","76","83","74","69","77","66","60","66","56","49","49","64","66","77","84","78","72","59","71","67","72","64","63","64","75","81","86","86","73","74","62","62","55","51","51","70","68","85","79","78","66","70","66","53","48","55","48","58","73","79","78","77","76","64","60","65","61","52","57","62","68","83","73","69","69","67","69","63","61","63","52","63","66","76","79","77","72","67","69","66","55","65","58","62","67","79","76","77","76","68","67","65","62","58","58","62","69","78","74","74","71","69","67","69","65","67","52","60","66","76","80","77","75","61","62","57","61","50","53","58","66","78","78","75","76","73","65","64","54","60","57","62","68","80","77","80","74","70","69","69","59","58","60","64","74","86","83","83","76","70","73","64","63","60","57","57","71","75","83","79","74","71","62","67","61","46","61","56","63","78","83","75","73","83","76","60","58","57","57","59","65","81","74","80","79","71","74","65","60","57","54","58","64","84","82","78","76","63","61","60","49","62","59","70","68","76","76","80","78","77","64","55","57","60","58","53","69","79","79","81","77","74","71","70","65","55","49","69","69","80","86","80","72","65","62","61","53","61","54","73","75","78","82","80","80","70","64","59","48","61","52","55","69","81","86","77","78","71","67",
"충주","평균상대습도[%]","%","76","64","58","57","66","73","69","70","69","66","65","63","66","66","55","48","53","67","76","70","65","75","70","63","67","61","55","52","61","63","72","78","75","71","62","69","65","67","61","60","60","67","74","77","75","68","76","69","68","59","54","55","66","66","80","75","75","68","73","67","57","52","55","51","59","69","78","78","75","77","65","61","66","61","51","55","60","68","82","73","70","72","68","72","65","62","62","53","61","63","75","77","80","77","72","77","68","56","62","57","60","65","77","73","74","75","69","64","65","65","56","55","59","64","75","72","73","71","67","67","69","66","63","55","60","65","76","80","79","75","65","66","60","64","52","54","60","67","79","78","73","75","70","63","62","53","57","55","59","60","77","75","77","72","68","68","67","57","55","57","60","67","79","77","77","72","69","71","63","59","55","53","52","63","70","79","74","72","71","64","66","59","45","59","53","58","70","72","65","67","75","70","58","56","51","54","55","61","74","67","74","76","69","70","64","58","52","52","54","56","79","75","72","72","64","60","60","48","61","57","68","64","71","70","73","76","74","63","56","59","59","57","53","68","75","77","80","78","76","75","72","69","58","51","68","70","81","85","78","74","69","67","64","58","63","54","71","73","77","80","78","80","75","69","62","53","64","56","56","70","81","82","76","78","73","70",
"서산","평균상대습도[%]","%","74","66","67","62","75","77","82","83","78","74","70","69","71","71","65","63","68","74","80","73","67","75","72","69","71","69","68","65","73","71","81","86","80","72","70","74","74","75","70","70","70","78","84","86","82","71","74","70","69","66","60","62","73","72","84","78","76","65","75","66","63","59","63","63","65","80","84","85","80","76","70","71","73","68","62","69","73","79","89","77","71","77","68","71","72","69","73","69","77","74","85","86","85","76","71","78","69","65","72","68","71","77","87","79","78","78","76","71","68","72","67","68","70","76","83","79","77","73","75","72","73","72","69","66","73","73","83","84","81","73","69","70","67","71","64","67","69","80","87","84","75","73","73","67","67","58","66","67","67","77","90","89","88","82","77","78","80","72","73","74","79","82","93","90","84","79","81","82","76","73","76","73","76","82","86","85","81","76","78","76","73","71","62","71","71","82","88","88","79","80","90","81","79","75","73","76","76","85","91","86","88","85","80","82","81","76","71","74","77","79","96","91","77","71","71","71","68","60","77","71","74","76","80","77","77","74","75","63","66","65","67","66","64","75","82","80","80","76","72","73","72","72","61","59","74","78","82","86","79","69","71","68","71","64","71","61","73","78","78","81","79","77","79","71","69","65","73","69","67","77","80","84","76","74","73","70",
"울진","평균상대습도[%]","%","60","39","46","55","74","80","76","86","82","73","64","46","49","54","51","55","62","76","78","80","76","74","53","41","53","43","54","60","74","76","83","84","80","65","46","61","49","68","65","70","80","80","88","85","82","62","69","43","44","43","51","54","70","73","81","83","81","67","58","49","42","47","55","54","70","77","81","80","83","70","53","36","55","53","50","62","76","81","89","83","78","74","64","54","52","59","64","65","69","84","87","84","86","73","59","53","55","42","66","66","69","81","81","86","83","70","57","48","44","58","60","61","69","75","87","82","77","62","64","49","47","64","70","64","70","82","83","85","84","77","50","45","41","66","52","62","76","78","89","88","82","72","68","51","52","49","63","63","77","86","85","88","83","68","57","49","52","54","59","61","74","88","82","76","81","74","53","54","51","76","61","66","61","84","78","88","81","70","64","41","55","57","51","70","62","81","82","82","81","64","75","59","44","54","61","68","67","80","88","84","87","79","66","57","50","48","61","61","63","77","82","86","74","78","48","41","40","46","61","58","73","74","84","84","81","70","68","49","41","54","56","62","62","79","81","83","84","75","67","52","60","59","62","56","71","77","89","84","81","69","56","42","47","52","68","67","72","85","87","87","83","76","57","48","48","42","62","59","58","79","87","81","80","75","61","43",
"청주","평균상대습도[%]","%","70","57","53","49","62","69","75","77","76","67","64","61","66","64","53","48","56","67","73","69","62","71","64","63","67","58","53","51","60","60","72","79","72","68","62","67","66","64","60","58","60","68","76","77","76","63","68","62","63","55","49","46","60","62","76","71","70","58","65","59","54","51","50","47","54","68","73","74","70","68","59","60","61","56","48","53","58","65","80","70","63","65","61","67","63","57","59","49","57","61","74","77","80","68","61","70","63","52","56","52","55","66","74","70","67","68","63","60","61","61","53","50","54","60","73","68","66","61","64","64","66","61","60","52","56","59","74","80","77","71","61","66","61","61","50","53","59","67","82","78","70","68","67","58","60","51","58","55","55","61","76","74","74","66","65","69","66","55","53","56","58","65","77","74","71","67","70","68","57","56","55","51","52","66","72","77","69","67","68","62","62","57","43","59","49","54","67","64","57","59","74","64","56","52","46","52","50","60","71","62","69","68","60","61","59","53","45","47","48","51","77","70","63","62","59","58","60","49","62","55","61","58","66","63","66","65","62","55","52","55","53","53","48","64","71","70","72","67","63","64","64","63","50","45","62","66","76","79","71","61","61","57","60","53","57","45","62","66","68","73","70","68","67","61","52","49","57","48","46","64","72","76","64","64","60","61",
"대전","평균상대습도[%]","%","70","57","55","51","64","72","77","79","78","72","67","63","68","64","54","51","60","70","77","71","64","73","67","65","68","59","55","54","65","63","75","82","75","71","64","69","66","65","62","62","64","70","80","80","78","66","71","64","63","56","50","49","65","63","77","73","73","63","69","61","56","53","53","50","57","68","76","78","74","71","60","63","65","60","51","60","64","69","85","75","70","69","65","70","65","59","62","52","61","66","77","79","80","72","65","73","61","49","54","53","57","68","75","72","72","71","66","62","60","61","54","52","58","63","76","71","69","64","67","66","67","63","62","55","60","62","75","79","77","71","60","67","60","60","49","53","60","66","81","78","70","69","67","60","60","52","57","54","54","68","82","81","81","74","72","77","74","62","57","62","68","76","85","82","80","77","76","76","65","64","64","61","61","77","83","87","78","76","77","75","73","66","51","68","60","68","80","76","69","71","83","75","69","62","58","63","62","72","81","72","79","79","72","71","67","61","54","57","60","62","86","83","77","76","68","66","66","53","70","64","70","68","76","72","76","76","72","64","60","60","60","61","56","72","79","78","81","76","71","70","69","68","56","51","71","76","88","87","80","70","69","65","67","58","65","55","72","76","79","84","81","79","76","70","54","49","59","52","50","67","75","79","69","68","64","62",
"추풍령","평균상대습도[%]","%","68","52","52","49","62","72","79","83","79","71","66","58","64","61","48","46","56","67","75","74","71","74","61","58","63","53","49","54","68","70","80","84","80","72","62","70","65","67","65","63","70","75","86","85","84","68","71","56","57","52","49","47","64","65","75","75","74","63","64","57","54","52","51","48","54","67","74","77","77","71","58","57","58","57","49","57","63","68","83","73","73","67","64","65","60","57","60","49","58","67","78","81","82","75","63","71","63","49","56","56","59","75","80","77","79","73","68","65","60","61","54","50","57","68","81","78","76","68","68","63","64","66","66","56","63","70","82","85","82","76","62","67","59","61","48","54","66","71","83","85","78","71","72","60","61","57","60","55","63","73","79","80","80","71","64","69","64","57","51","56","63","75","79","78","78","74","67","64","54","61","56","53","54","71","77","83","78","74","68","64","64","58","44","63","53","67","78","77","73","66","81","70","60","54","52","58","56","69","78","71","82","78","67","65","58","53","50","50","53","58","83","80","76","76","59","56","56","44","62","55","66","64","75","72","75","71","66","56","49","53","53","55","47","66","76","75","79","73","64","61","62","61","51","44","65","69","84","82","77","65","61","57","59","50","61","50","68","73","78","81","80","74","68","59","49","46","58","52","51","72","79","81","76","72","64","60",
"안동","평균상대습도[%]","%","64","46","48","51","61","66","74","77","78","72","69","59","59","59","47","45","52","65","74","71","71","77","64","57","59","50","49","49","54","54","66","76","67","67","54","62","51","60","58","55","59","73","70","68","68","56","63","52","50","45","45","44","67","70","83","81","83","76","76","71","60","58","60","56","64","75","83","86","84","82","71","59","67","66","58","65","71","75","90","81","80","79","76","73","67","66","68","60","66","73","85","86","87","81","72","74","66","49","64","58","58","71","77","75","76","73","69","63","58","62","54","52","60","66","78","75","75","69","68","61","62","64","64","55","62","62","75","79","79","77","61","61","50","63","47","53","62","68","79","80","74","72","70","58","56","52","58","55","59","67","75","76","77","71","64","66","65","53","53","56","60","70","77","75","75","72","66","63","53","60","55","52","52","65","67","79","75","74","69","56","62","57","46","60","50","63","71","74","70","64","78","69","54","52","53","57","55","64","77","68","79","77","69","67","57","52","54","53","53","58","81","79","76","78","59","52","53","42","61","54","66","64","73","73","79","76","77","60","52","55","59","58","53","67","75","75","78","76","71","64","67","61","55","49","65","65","81","82","77","70","64","54","54","50","62","53","69","72","76","82","80","79","68","57","48","42","57","53","50","67","75","80","74","74","67","58",
"상주","평균상대습도[%]","%","","","","","","","","","","","","","","","","","","","","","","","","","67","54","53","56","66","67","80","84","81","72","58","67","61","65","63","63","70","75","86","85","83","67","74","56","57","53","49","47","65","69","80","80","81","72","73","64","56","56","54","54","61","76","82","85","85","77","61","53","59","57","49","58","66","72","89","80","79","75","68","68","60","60","63","52","61","70","83","84","87","77","64","71","60","43","55","54","55","70","77","74","77","70","64","58","53","56","48","46","54","62","77","75","73","66","62","56","55","61","61","51","57","64","79","85","83","75","56","58","45","54","40","49","63","67","85","87","78","71","72","51","54","49","53","49","57","69","78","79","80","70","62","64","62","53","49","54","60","72","77","75","77","72","66","60","51","58","54","51","50","65","71","78","74","72","65","56","59","54","41","61","48","62","73","72","68","62","76","65","53","50","48","56","53","64","76","67","81","77","64","60","53","48","46","48","49","54","81","79","73","73","55","50","51","39","59","52","65","61","73","70","77","71","67","53","45","52","55","58","54","73","82","80","86","79","70","65","66","65","55","47","70","74","90","88","83","70","64","58","60","53","65","55","72","77","83","88","86","81","71","61","52","47","59","52","49","72","80","83","78","73","65","57",
"포항","평균상대습도[%]","%","54","35","43","51","64","72","74","80","76","67","58","41","49","47","43","49","60","72","71","75","70","69","48","42","51","39","47","52","69","65","76","78","72","59","43","54","45","57","59","61","73","72","83","77","75","55","70","46","45","43","48","51","66","72","77","80","79","65","59","50","44","45","51","51","63","71","78","76","80","64","48","37","51","49","48","58","69","73","85","78","75","70","61","52","48","58","58","55","64","78","86","78","83","73","54","58","59","38","62","63","66","80","78","82","79","66","58","51","47","59","55","55","64","69","84","79","76","61","62","49","47","61","66","60","65","74","78","80","77","70","49","50","44","65","43","56","69","72","80","83","74","64","64","46","51","49","65","59","69","85","84","86","75","56","48","47","45","41","50","53","63","79","70","71","74","68","54","52","45","68","58","59","55","78","76","84","75","68","60","47","56","53","49","66","56","77","77","79","76","62","73","59","48","47","56","62","61","74","80","75","83","75","62","54","48","46","54","55","58","71","76","80","71","70","48","45","49","45","62","57","73","69","78","74","74","67","62","52","43","53","55","60","53","75","78","80","81","72","64","54","60","59","57","51","69","71","86","75","76","61","52","42","47","47","61","59","65","77","81","80","77","71","57","49","42","41","59","56","52","73","82","76","78","66","57","46",
"군산","평균상대습도[%]","%","70","64","66","62","72","79","81","80","80","71","63","61","65","60","61","64","70","79","81","76","66","72","66","64","66","65","65","63","78","76","83","86","80","72","65","71","74","76","71","73","77","80","88","85","82","70","72","66","71","67","60","62","77","74","84","79","78","65","72","63","65","62","65","64","70","82","88","85","79","74","62","71","68","64","58","70","74","80","90","79","72","76","62","72","71","75","75","70","75","78","89","88","91","76","72","79","70","65","75","73","74","80","87","82","79","78","74","73","71","77","71","74","76","79","88","83","81","72","75","76","78","74","74","71","79","81","86","87","83","75","70","73","72","78","69","76","73","80","84","82","75","71","71","67","67","61","71","67","71","80","90","86","86","78","73","77","77","72","76","76","82","85","90","88","83","79","79","79","73","71","79","77","78","86","91","92","86","80","84","82","79","77","72","80","78","86","92","89","81","80","87","80","79","73","73","80","80","90","93","89","87","83","76","77","76","72","73","77","80","69","87","84","80","75","71","71","72","62","81","75","77","78","81","79","77","76","76","65","70","70","74","73","69","81","83","81","83","76","72","69","72","75","67","65","78","82","87","85","81","71","71","67","68","67","76","65","75","80","83","83","81","79","78","70","65","64","74","70","64","79","83","85","76","74","69","69",
"대구","평균상대습도[%]","%","57","38","42","46","55","65","71","76","74","66","62","49","55","51","40","44","56","66","71","68","67","71","53","49","55","44","47","50","61","57","73","77","70","63","49","59","51","57","56","58","64","67","80","75","74","56","67","49","47","43","42","42","59","60","69","70","73","59","61","50","44","45","45","43","50","60","72","72","72","62","49","43","49","48","41","52","59","61","80","68","67","62","57","54","46","51","52","44","51","63","73","72","76","66","51","57","55","38","51","53","53","69","69","69","66","58","56","50","44","50","44","43","48","56","72","66","64","54","56","48","47","53","55","49","52","54","70","69","67","61","46","50","40","53","35","46","56","60","71","75","62","58","63","46","47","44","50","47","53","64","69","71","69","57","50","54","52","43","41","47","53","66","67","69","68","64","55","51","40","54","51","48","44","63","68","79","68","64","60","47","57","53","46","63","49","66","72","75","77","68","80","69","58","52","55","61","59","67","73","65","79","75","62","58","51","46","50","52","52","60","74","75","68","71","53","46","49","40","60","52","62","60","66","68","71","63","63","50","44","47","50","52","47","65","76","74","79","71","66","57","61","59","61","53","64","63","79","71","73","64","59","54","58","59","69","61","62","64","69","74","76","72","63","57","46","44","58","55","50","71","77","81","80","72","65","63",
"전주","평균상대습도[%]","%","68","60","59","52","64","72","76","75","78","69","66","61","66","62","60","54","63","72","75","70","64","72","66","65","68","62","59","57","68","64","74","80","73","66","62","68","70","68","63","62","65","69","80","78","75","63","69","64","65","59","51","51","65","66","72","72","71","61","67","60","60","57","59","51","59","69","76","74","71","68","58","66","64","59","56","67","69","70","85","76","72","71","65","72","71","67","65","57","62","69","78","76","82","73","66","73","69","59","61","57","59","70","74","71","69","65","64","62","63","66","59","54","57","62","75","71","68","61","63","66","66","65","62","57","61","65","73","78","72","70","59","64","63","67","54","57","59","67","78","80","72","68","69","63","63","54","62","55","57","63","76","74","76","67","64","71","68","60","56","59","62","73","76","75","72","70","68","69","59","57","61","57","56","70","81","85","74","69","73","71","67","62","51","64","55","70","83","79","72","74","84","75","72","64","61","69","67","79","82","76","79","78","69","69","67","62","60","63","64","70","88","80","77","77","68","64","68","54","74","69","77","78","84","81","81","78","76","68","68","66","67","70","63","83","88","88","89","80","65","62","69","67","59","55","70","74","84","79","76","65","64","62","65","58","68","55","68","72","74","78","75","70","71","65","60","57","65","59","56","73","78","79","70","67","63","67",
"울산","평균상대습도[%]","%","54","34","44","51","65","70","73","77","74","67","60","44","49","47","45","50","61","71","71","70","70","68","51","41","49","40","50","55","66","62","76","76","71","61","44","53","45","55","58","61","69","70","80","75","72","55","65","43","41","41","47","50","64","64","70","72","73","61","57","47","41","43","51","53","61","69","75","71","75","63","49","36","48","48","48","59","67","68","80","72","72","69","58","53","46","56","60","56","65","77","83","78","83","74","58","58","60","40","62","63","68","78","78","78","78","69","61","52","49","62","57","58","63","69","83","78","76","64","63","50","47","64","66","63","68","72","80","79","76","71","55","53","42","65","46","60","70","75","79","82","75","69","70","51","52","53","63","62","67","74","75","75","73","62","53","52","49","48","54","53","62","73","67","69","72","68","55","52","44","68","60","59","55","74","77","84","75","70","63","45","51","51","49","64","54","78","81","78","76","59","75","62","50","47","58","69","65","82","88","82","89","82","68","59","50","49","58","63","62","74","82","82","77","75","52","42","47","41","65","61","72","75","82","81","81","70","63","51","40","52","55","62","56","80","84","82","85","75","66","54","61","59","59","55","72","75","91","83","81","66","60","46","52","50","68","62","68","80","85","87","83","75","59","49","39","37","60","59","54","77","83","79","79","67","58","44",
"창원","평균상대습도[%]","%","50","37","49","56","69","74","77","76","68","60","54","44","48","46","45","54","63","74","76","66","62","62","47","41","51","44","51","59","72","68","82","78","65","57","44","50","43","53","55","59","65","69","79","73","67","50","60","41","39","41","44","52","67","68","77","72","69","54","57","47","44","47","51","57","63","75","80","75","74","65","52","44","51","54","54","65","72","77","86","77","70","68","55","52","47","54","57","53","64","73","79","78","76","65","51","55","52","38","57","61","66","74","81","73","71","61","57","50","44","55","51","53","61","72","81","72","69","57","57","46","45","56","58","60","70","73","84","81","74","65","53","51","40","57","42","58","67","78","80","81","68","61","64","44","44","45","55","58","62","72","80","74","71","58","49","53","48","43","52","51","62","75","79","74","68","61","54","47","41","54","58","54","57","72","80","81","73","65","60","48","50","50","51","64","61","76","81","80","75","65","73","59","50","46","59","66","64","80","87","77","84","76","62","54","47","46","54","62","63","72","88","81","74","72","54","45","46","38","67","67","76","80","84","83","82","69","65","51","43","51","54","58","56","73","80","76","77","66","59","52","55","56","54","49","68","71","85","81","73","57","54","46","50","48","60","53","64","74","77","77","74","66","56","50","39","37","57","57","53","75","76","78","69","59","55","44",
