SIDO,STD_YYYYMM,AVG_PM10,PM10_BAD,PM10_80BAD,AVG_PM2.5,PM2_BAD,PM2_35BAD,AVG_아황산,아황산_0.05BAD,아황산_BAD,AVG_이산화,이산화_0.06BAD,이산화_0.03BAD,이산화_BAD,AVG_일산화,일산화_9BAD,일산화_BAD,차량수
부산광역시,201504,48.0,Y,N,24.0,Y,N,0.008,N,Y,0.019,N,N,Y,0.4,N,N,1227357.0
대구광역시,201504,42.0,Y,N,22.0,Y,N,0.003,N,N,0.019,N,N,Y,0.4,N,N,1086665.0
인천광역시,201504,54.0,Y,N,30.0,Y,N,0.006,N,Y,0.03,N,N,Y,0.6,N,Y,1277867.0
광주광역시,201504,40.0,N,N,24.0,Y,N,0.003,N,N,0.019,N,N,Y,0.5,N,Y,597728.0
대전광역시,201504,40.0,N,N,23.0,Y,N,0.003,N,N,0.017,N,N,N,0.4,N,N,624549.0
울산광역시,201504,49.0,Y,N,25.0,Y,N,0.008,N,Y,0.024,N,N,Y,0.5,N,Y,512537.0
세종특별자치시,201504,45.3733,N,N,24.8315,N,N,0.0048,N,N,0.0199,N,N,N,0.4596,N,N,77838.0
경기도,201504,51.1,Y,N,23.43,Y,N,0.005,N,Y,0.026,N,N,Y,0.474,N,Y,4765646.0
경상남도,201504,47.75,Y,N,22.38,Y,N,0.004,N,N,0.016,N,N,N,0.4,N,N,1530433.0
충청북도,201504,41.75,N,N,27.0,Y,N,0.004,N,N,0.021,N,N,Y,0.45,N,N,710527.0
충청남도,201504,43.0,Y,N,24.8315,N,N,0.004,N,N,0.016,N,N,N,0.45,N,N,940500.0
전라북도,201504,46.0,Y,N,36.0,Y,Y,0.003,N,N,0.013,N,N,N,0.467,N,Y,819304.0
전라남도,201504,41.0,N,N,22.0,Y,N,0.005,N,Y,0.016,N,N,N,0.52,N,Y,861112.0
경상북도,201504,44.5,Y,N,24.8315,N,N,0.006,N,Y,0.018,N,N,N,0.483,N,Y,1273227.0
제주특별자치도,201504,47.5,Y,N,23.0,Y,N,0.005,N,Y,0.011,N,N,N,0.35,N,N,402936.0
서울특별시,201505,45.0,Y,N,22.0,Y,N,0.006,N,Y,0.032,N,Y,Y,0.4,N,N,3030052.0
부산광역시,201505,56.0,Y,N,31.0,Y,N,0.009,N,Y,0.025,N,N,Y,0.4,N,N,1230897.0
대구광역시,201505,48.0,Y,N,25.0,Y,N,0.003,N,N,0.018,N,N,N,0.4,N,N,1087466.0
인천광역시,201505,52.0,Y,N,28.0,Y,N,0.007,N,Y,0.026,N,N,Y,0.5,N,Y,1286712.0
광주광역시,201505,41.0,N,N,24.0,Y,N,0.003,N,N,0.018,N,N,N,0.4,N,N,599458.0
대전광역시,201505,49.0,Y,N,29.0,Y,N,0.004,N,N,0.017,N,N,N,0.4,N,N,624925.0
울산광역시,201505,57.0,Y,N,31.0,Y,N,0.012,N,Y,0.028,N,N,Y,0.5,N,Y,513801.0
