"구분","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월",
"농성동","Ni","","","",".005",".0025",".0009",".0024","N.D.","N.D.","N.D.",".0032","N.D.","N.D.",".0015","N.D.","N.D.",".0022",".0012",".0022",".0024",".0021",".0018",".0006",".0014","N.D.",".0018",".0016","N.D.",".0013","N.D.",".0004",".0005",".0001","N.D.",".0002","N.D.","N.D.","N.D.","N.D.",".0003","N.D.",".0001","N.D.","N.D.","N.D.","N.D.",".0002",".001",".0015",".0006","N.D.",".0014",".0019",".0044",".0008",".0023",".002",".0003",".0005",".0012",".0027","N.D.","N.D.","N.D.","N.D.",".0039",".0024",".0009",".0033",".0017",".0009",".0013",".0012",".0011",".0013","N.D.",".0012",".0012",".0003",".0003",".0001",".0016",".0007",".0004",".0005",".0007",".0007",".0006",".0005",".0004",".001",".0004",".0009",".0004","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",".0002","N.D.",".0003","N.D.",".0011","N.D.","N.D.","N.D.",".0004","N.D.",".0013",".0011",".00162","N.D.",
"두암동","Ni","","","","","","","","","","N.D.","N.D.","","N.D.",".0012","N.D.","N.D.",".0014",".0009",".0021",".0017",".0014",".0013",".0003",".0004","N.D.",".0005",".0009","N.D.",".001","N.D.",".0002",".0002","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",".0001","N.D.",".0002","N.D.","N.D.","N.D.","N.D.",".0001",".0005",".0014",".0033","N.D.",".0015",".0014",".0024",".0004",".0011",".0018","","",".0015",".0005","N.D.","N.D.","N.D.","N.D.",".0009",".0031",".0003",".0008","",".0008",".0006",".0013",".0004",".0006",".0011",".0003",".0006",".0003",".0003","N.D.",".0015",".0001",".0006",".0002",".0006",".0006",".0002",".0003",".0006",".0006","",".0008",".0003","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",".0002","N.D.",".0009","N.D.",".0008","N.D.","N.D.","N.D.","N.D.","N.D.",".0005",".0012",".0011","N.D.",
"건국동","Ni","","","",".0049",".003",".001",".0016","N.D.","N.D.","N.D.","N.D.","N.D.",".0001",".0025",".0009","N.D.",".0016",".0014",".0023",".0019",".0015",".0013",".0011",".0008","N.D.",".0026",".0015","N.D.",".0013","N.D.",".0003",".0003","N.D.","N.D.",".0003","N.D.","N.D.","N.D.","N.D.",".0003","N.D.",".0004","N.D.",".0002","N.D.","N.D.",".0005",".001",".0016",".0013",".0013",".002",".002",".0028",".0005",".0027",".0023",".0005",".0008",".0025",".0045","N.D.","N.D.","N.D.","N.D.",".0014",".0018",".0008",".0028",".0019",".0018",".0017",".001",".0021",".0014",".0021",".001",".0017",".0004",".0006",".0003",".0018",".0014",".0006",".0007",".001",".001",".0007",".001",".0007",".0023",".0006","","","N.D.","N.D.","N.D.","N.D.",".0003","N.D.","N.D.","N.D.","N.D.","N.D.","-","-",".0001","N.D.","N.D.",".0003",".0008",".0014",".0004",".0016","N.D.","N.D.",".0001",".0006","-",".0009",".0012",".0016","N.D.",
"노대동","Ni","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0019",".0022",".0006",".0005",".0024",".0006",".0001",".0006",".0004","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",".0006","N.D.",".0012","N.D.","N.D.","N.D.",".0004","N.D.",".0011",".0009",".00142","N.D.",
"평동","Ni","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0011",".002",".002",".0017",".0021",".0014",".0008","","","","N.D.","N.D.","N.D.",".0018","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",".0002",".0001","N.D.",".0009",".0007",".0016",".0001",".0024",".0002","N.D.","N.D.",".0036",".0001",".0031",".0024",".00482",".00058",
"서동","Ni","","","","","","","","","","N.D.","N.D.","N.D.","N.D.",".0012",".0001","N.D.",".0013",".001",".0017",".002",".0014",".0018",".0003",".0003","N.D.",".0009",".0013",".0002",".0013","N.D.",".0002",".0005","N.D.","N.D.",".0003","N.D.","N.D.","N.D.","N.D.",".0002","N.D.",".0002","N.D.","N.D.","N.D.","N.D.",".0003",".0007",".0014",".0014","N.D.",".0018",".0014",".003",".0007",".0021",".0017",".0002",".0004",".0011",".0006","N.D.","N.D.","N.D.","N.D.",".0009",".0015",".0003",".0021",".0016",".0009",".0006",".0016",".0005",".0014",".0013",".0006",".0004",".0002",".0003","N.D.",".0013",".0003",".0004",".0002",".0006",".0005",".0005",".0003",".0001",".0008",".0001",".0007",".0003","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",".0001","N.D.",".0011",".0005",".0006","N.D.","N.D.","N.D.",".0003","N.D.",".0006",".0009",".00114","N.D.",
"읍내동","Ni","","","","","","","","","","",".0075",".0175",".0124",".0108",".0143",".0097",".0204",".0046",".0056",".0058",".0017",".0072",".0081",".0239",".0049",".008",".0089",".004",".0043",".0057",".0053",".0012",".0023",".0018",".0045",".0036",".0103",".0066",".0116",".0048",".0033",".0039",".0063",".0031",".0044",".0049",".0025",".0055",".0112",".0029",".0076",".0066",".005",".0061",".0086",".0045",".0014",".0037",".0028",".0031",".0026",".0033",".0042",".0022",".0049",".004",".0028",".0021",".0032",".0023",".0014",".0053",".0012",".0032",".0021",".0046",".0028",".0085",".0034",".0048",".0017",".001",".0045",".0026",".007",".0035",".0034",".0026",".0076",".0066",".0037",".0025",".001",".0023",".0023",".0057",".0057",".0055",".0022",".0022",".0029",".0019",".0016",".001",".002",".0013",".0006",".0017",".0004",".0033",".0036",".0066",".0011",".0022",".0014",".0029",".0017",".0005",".0026",".0041",".004",".00342",".0078",
"문창동","Ni","","","","","","","","","","",".0018",".002",".0019",".0034",".0021",".002",".0034",".0025",".0022",".0027",".0009",".0019",".0018",".0026",".0022",".0024",".0027",".0017",".0023",".0029",".0032",".0005",".0017",".0008",".0005",".0013",".0031",".0031",".0025",".0023",".0018",".0032",".005",".0022",".0035",".0035",".002",".0029",".0018",".0018",".0036",".0019",".0024",".0039",".0023",".0017",".0009",".0025",".0028",".0017",".0018",".0022",".0017",".0014",".0032",".0035",".0023",".0013",".0022",".001",".001",".0031",".0014",".0021",".0019",".0025",".0017",".003",".0017",".0017",".0013",".0007",".0014",".0008",".0017",".0003",".001",".0011",".002",".0037",".0025",".0012",".0008",".0012",".0013",".0029",".0029",".0024",".0012",".0012",".0014",".0005",".0006",".0009",".0008",".0004","N.D.",".0005","N.D.",".001",".0014",".0028",".0004",".0011",".0014",".0002",".0006",".0002",".0016",".0018","0.0021*",".00068",".0023",
"구성동","Ni","","","","","","","","","","",".0027",".0023",".0018",".0056",".0029",".0014",".0037",".0017",".002",".0032",".0008",".0016",".0014",".0018",".0012",".0025",".0014",".0012",".0019",".0019",".0029",".001",".0015",".0009",".0012",".0009",".0026",".0019",".0022",".0016",".0017",".0023",".0043",".0017",".0031",".0034",".0013",".0019",".0008",".0007",".0015",".0015",".0023",".0034",".0027",".0017",".001",".0019",".0016",".0014",".0012",".0012",".0022",".0017",".0026",".0012",".0022",".0009",".0022",".0011",".0006",".0031",".0009",".002",".0014",".0026",".0013",".0025",".0013",".0015",".0013",".0006",".0011",".0001",".0015",".0002",".0005",".0008",".0018",".0026",".0022",".001",".0008",".0011",".001",".0024",".002",".0026",".0013",".0013",".002",".0006",".0008",".0008",".0012",".0005",".0001",".0001",".0004",".0006",".0011",".002",".0015",".0008",".0014",".0003",".0002",".0001",".0021",".0017",".0013",".0011",".00136",
"정림동","Ni","","","","","","","","","","",".0013",".0032",".0022",".0036",".0018",".0019",".0045",".0021",".0025",".0027",".0008",".0016",".0018",".0032",".0015",".0017",".0022",".0016",".0019",".0037",".003",".0004",".0013",".0006",".001",".001",".0022",".0014",".0018",".0017",".0022",".0029",".0044",".0008",".003",".0026",".0012",".0025",".0015",".0015",".0016",".0017",".0023",".0054",".0025",".0022",".0011",".0021",".0019",".0013",".0016",".0021",".0016",".0015",".0036",".0015",".0023",".0014",".0021",".0009",".0008",".0025",".0011",".0017",".0016",".0029",".0012",".0046",".0016",".0018",".0011",".0009",".0008",".0003",".0014",".0001",".0008",".0009",".0019",".0033",".0026",".0011",".0006",".0015",".001",".0052",".0052",".002",".0012",".0012",".0017",".0012",".0008",".001",".0009",".0008",".0002",".0001","N.D.",".0007",".0018",".0029",".0007",".0011",".0006",".0002",".0003","N.D.",".0034",".0014",".002",".00044",".00116",
