"구분","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월",
"부곡동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".2506",".2596",".1123",".1332",".1876",".2664",".4393",".1505",".0525",".076",".0575",".1274",".1337",".1304",".3284",".2057",".1867",".1872",".1269",".1926",".0321",".0237",".0266",".0911",".1023",".0883",".1458",".152",".3091",".1024",".1409",".0316",".0433",".0655",".0538",".0795",".1708",".2694",".26662",".09524",
"광안동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0834",".1238",".1173",".3531","","",".2377",".2195",".0652",".053",".2571",".1953",".114",".5014",".1451",".4164",".1534",".051",".0745",".0456",".0649",".1016",".0737",".2002",".3313",".1527",".1755",".0926",".32",".093",".1473",".119",".0277",".1397",".32",".2667",".0947",".1299",".2172",".2925",".4887",".1747",".0739",".1054",".0694",".1376",".2098",".1603",".37",".2002",".1935",".2034",".182",".2404",".05",".0225",".0243",".1034",".1546",".1113",".241",".1965",".3033",".1231",".1623",".0511",".0669",".0885",".0814",".0926",".2274",".218",".21702",".10748",
"수창동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1585",".2022",".1819",".1614",".271",".114",".1417",".1931",".2387",".1651",".326",".1681",".3073",".3694",".1527",".4742",".3213",".3376",".1619",".2771",".1998",".2209",".1795",".2125",".2566",".2918",".1765",".2902",".4398",".3453",".1824",".2053",".1533",".2089",".2428",".2237",".1509",".1965",".2276",".2322",".299",".4702",".2012",".2327",".1392",".2506",".2087",".1953",".3379",".2613",".189",".1709",".4092",".3434",".1115",".167",".1409",".1361",".2095",".1882",".2365",".2125",".3131","-","-","-","-",".0038",".0061","-",".028",".0254",".03364",".0232",
"이현동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1349",".1584",".1402",".1507",".2276",".0837",".0933",".0905",".1261",".1035",".2713",".132",".2184",".1418",".2018",".3859",".1959",".2126",".0859",".0632",".1373",".155",".1501",".1763",".2468",".227",".2067",".2512",".3003",".1926",".0913",".1035",".113",".1417",".2256",".1942",".0974",".1292",".1762",".2628",".0974",".3237",".1145",".2035",".1276",".1865",".1426",".1808",".4143",".1507",".1953",".2053",".3509","-",".0889",".0486",".0871",".0668",".1378",".215",".1149",".0981",".1783",".2236",".1765",".0076",".007",".0045",".0085",".011",".0182",".0169",".02492",".0175",
"대명동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1266",".1422",".1842",".1522",".2362",".0966",".0514",".0709",".1162",".0914",".3207",".1617",".2399",".1458",".1773",".3994",".2014",".2246",".0693",".0714",".1031",".1475",".156",".1837",".257",".2427",".2148",".2809",".3201",".1855",".0494",".0848",".0828",".1451",".2287",".2068",".0857",".1199",".1773",".2834",".1029",".3034",".0801",".1875",".0869",".1758",".1225",".1557",".4646",".1434",".1923",".1832",".3279",".2029",".0508",".0474",".07",".0834",".1437",".1648",".1159",".1089",".1475",".2303",".1338",".0057",".0058",".0031",".006",".0067",".0145",".0143",".0247",".01424",
"지산동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1362",".1384",".1567",".1172",".1823",".0928",".0441",".0561",".113",".0872",".2947",".1953",".2161",".2087","",".1925",".1852",".2311",".0665",".049",".0964",".1285",".1251",".189",".2442",".2479",".2325",".2628",".3095",".1997",".051",".0755",".0966",".1202",".201",".1725",".0945",".1212",".1542",".25",".0965",".2669",".0712",".1617",".0671",".1158",".1237",".1573",".4259",".1619",".1466",".139",".307",".135",".0316",".0445",".0583",".0985",".1756",".1728",".1322",".1063",".153",".2349",".1653",".0051",".005",".0026",".0056",".0068",".0132",".0132",".0212",".01302",
"달성산단","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0134",".02526",".01834",
"신흥","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1801",".3101",".3247",".6003",".5722",".1705",".1656",".1448",".3029",".1463",".3023",".2827",".2763",".2061",".2199",".4777",".336",".2371",".1181",".1331",".1486",".1916",".4181",".3176",".2003",".2516",".2368",".2415",".3535",".1146",".1517",".0537",".1065",".2755",".1893",".262",".1593",".3498",".3747",".4791",".9227",".5091",".2173",".0847",".1298",".399",".3128",".2155",".6948",".2001",".3114",".1878",".646",".365",".1122",".255",".0686",".1183",".0725",".2097",".1623",".1874",".2455",".1514",".2921",".1598",".0845",".0452",".138",".1114",".1348",".0987",".51418",".18586",
"구월동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1919",".3224",".3467",".604",".5216",".23",".2562",".2004",".3856",".1628",".3295",".1618",".2684",".176",".2163",".442",".3614",".3556",".0981",".1848",".1295",".2574",".4294",".2922",".2251",".3027",".3069",".1652",".4458",".1577",".1574",".1187",".0668",".2487",".258",".2796",".2028",".3242",".4476",".5962","1.2952",".6355",".2413",".2182",".1601",".4163",".3679",".2278",".5955",".1814","0.3733*",".3041",".339",".3717",".193",".1965",".1247",".1414",".0753",".2343",".0912",".1012","0.3220*",".1525",".245",".1636",".0981",".048",".1337",".0879",".1119",".1009",".5253",".20136",
"부평","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1936",".3285",".3225",".6246",".6057",".2197",".3203",".1501",".3134",".1492",".3267",".2919",".2838",".2261",".2191",".4753",".4061",".3054",".0801",".1277",".1372",".2143",".3736",".3573",".2278",".2705",".2463",".1838",".3958",".1738",".1578",".0699",".0617",".2744",".2759",".2337",".1834",".2926",".3973",".6499","1.0367",".6023",".2364",".2732",".1494",".4523",".3943",".2342",".6057",".2093",".3114",".1205",".4357",".3508",".2091",".186",".102",".1156",".0965",".2998",".2172",".2158",".3842",".1811",".3562",".203",".1566",".0548",".1308",".1151",".1224",".1466",".54954",".14452",
