지역명,측정소명,측정소 주소,운영기관,설치년도
울산,범서읍,울산광역시 울주군 범서읍 당앞로 14-50 천상정수사업소,울산광역시보건환경연구원,2020
울산,부곡동(울산),울산 남구 처용로 260-37 대경기계기술,울산광역시보건환경연구원,2000
울산,삼남읍,울산광역시 울주군 삼남읍 서향교1길 67-12 울주군보건소 옥상,울산광역시보건환경연구원,2013
울산,삼산동,울산 남구 삼산중로 131번길 36 삼산동 주민센터 옥상,울산광역시보건환경연구원,2000
울산,상남리,울산 울주군 청량면 신덕하3길 5 청량면사무소 옥상,울산광역시보건환경연구원,1986
울산,성남동,울산 중구 새즈믄해거리 28 농협 성남동 지점,울산광역시보건환경연구원,1983
울산,송정동 대기환경측정소,울산광역시 북구 송내14길 41 송정동 행정복지센터 (화봉동),울산광역시보건환경연구원,2022
울산,신정동,울산 남구 봉월로 20번길 9 신정2동주민센터 옥상,울산광역시보건환경연구원,1993
울산,야음동,울산 남구 대암로 90번길 27 울산세관,울산광역시보건환경연구원,1986
울산,약사동,울산 중구 종가로 560 약사고등학교,울산광역시보건환경연구원,2017
울산,여천동(울산),울산 남구 부두로 9 현대자동차 엔진공장,울산광역시보건환경연구원,1983
울산,웅촌면,울산광역시 울주군 웅촌면 새초천길 12 웅촌운동장 주차장,울산광역시보건환경연구원,2020
울산,전하동,울산광역시 동구 진성4길 45 주민센터 3층 옥상 (전하동),한국환경공단 대구경북환경본부,2018
울산,화산리,울산 울주군 온산읍 산암로 94 풍산금속 야외 주차장,울산광역시보건환경연구원,1986
울산,효문동,울산 북구 염포로 290 효문배수펌프장 옥상,울산광역시보건환경연구원,2005
대구,군위읍,대구광역시 군위군 군위읍 군청로 158 군위종합테니스장 옥상,대구광역시보건환경연구원,2019
대구,남산1동,대구광역시 중구 남산로2길 125 대구명덕초등학교 (남산동),대구광역시보건환경연구원,
대구,내당동,대구광역시 서구 서대구로3길 46 내당4동 행정복지센터 3층 옥상 (내당동),대구광역시보건환경연구원,2020
대구,다사읍,대구광역시 달성군 다사읍 매곡로12길 37 다사읍주민자치센터,대구광역시보건환경연구원,2018
대구,대명동,대구 남구 성당로30길55 성명초등학교별관3층옥상 성명초등학교 별관 3층 옥상,대구광역시보건환경연구원,2010
대구,만촌동,대구 수성구 만촌2동 934 (동원초등학교)(국채보상로 1000) 동원초등학교,대구광역시보건환경연구원,1996
대구,본동,대구광역시 달서구 구마로26길 62 본동행정복지센터 (본동),대구광역시보건환경연구원,2019
대구,산격동,대구광역시 북구 연암로 40 시청별관 105동 3층 옥상 (산격동),대구광역시보건환경연구원,2020
대구,서호동,대구 동구 서호동 25-1(안심로49길 70) 반야월초등학교 옥상,대구광역시보건환경연구원,2001
대구,수창동,대구 중구 수창동 73 (수창초등학교)(달성로 22길 30) 수창초등학교,대구광역시보건환경연구원,1999
대구,시지동,대구광역시 수성구 노변공원로 52 노변초등학교 (시지동),대구광역시보건환경연구원,2017
대구,신암동,대구 동구 신암동 72-1 (신암5동사무소)(아양로 37길 92) 주민센터,대구광역시보건환경연구원,1998
대구,유가읍,대구광역시 달성군 유가읍 테크노북로6길 20 비슬공원,대구광역시보건환경연구원,2003
대구,이현동,대구 서구 이현동 48-60 (중리초등학교)(국채보상로 135) 중리초등학교,대구광역시보건환경연구원,1994
대구,지산동,대구 수성구 지산동 761-11(한국환경공단) (무학로 209) 한국환경공단,대구광역시보건환경연구원,1999
전남,화양면,전라남도 여수시 화양면 평촌길 2-6 화동경로당,전라남도보건환경연구원,2018
광주,건국동,광주 북구 첨단과기로 333 (광주테크노파크 벤처지원센터 옥상) 광주테크노파크 벤처지원센터 옥상,광주광역시보건환경연구원,
광주,노대동,광주광역시 남구 덕남길 7 문화관 근처 (노대동),광주광역시보건환경연구원,2019
광주,농성동,광주 서구 상무대로 1165 (광주시립미술관 상록전시관 단독건물) 광주시립미술관,광주광역시보건환경연구원,2015
광주,두암동,광주 북구 군왕로 141번길 6 (두암보건지소) 두암보건지소 3층 옥상,광주광역시보건환경연구원,
광주,서석동,광주 동구 서남로 1 동구청보건소,광주광역시보건환경연구원,
광주,오선동,광주 광산구 하남산단 6번로 107 삼성전자 환경안전센터,광주광역시보건환경연구원,
광주,우산동(광주),광주광역시 광산구 우산동 1026-2 월곡119안전센터 인근 사유지 (우산동),광주광역시보건환경연구원,2020
광주,유촌동,광주광역시 서구 천변우하로 203 광주보건환경연구원 신청사 옥상 (유촌동),광주광역시보건환경연구원,2020
광주,일곡동,광주광역시 북구 모룡대길 68 교통문화연수원 옥상 (일곡동),광주광역시보건환경연구원,2020
광주,주월동,광주 남구 회서로 21번가길 13 주월1동 주민센터,광주광역시보건환경연구원,
광주,평동,광주광역시 광산구 평동산단로 184-1 평동종합비즈니스센터 후문 주차장 입구 (월전동),광주광역시보건환경연구원,2019
전북,여산면,전라북도 익산시 여산면 가람로 393 여산보건지소 옥상,전라북도보건환경연구원,2021
전북,여의동,전라북도 전주시 덕진구 여암2길 9 전주시립쪽구름도서관 옥상 (반월동) (반월동),전라북도보건환경연구원,2022
전북,연지동,전북 정읍시 조곡천1길 7. 여성문화관 옥상 ,전라북도보건환경연구원,2005
전북,영파동,전라북도 정읍시 영파동 232-1 정읍 공공하수처리시설 옥상 (영파동),전라북도보건환경연구원,2021
전북,옥산면,전북 군산시 옥산면 산성로 200 옥산면사무소 옥상,전라북도보건환경연구원,2019
전북,요촌동,전북 김제시 요촌중길 50 요촌동 주민센터 옥상,전라북도보건환경연구원,2015
전북,용동면,전북 익산시 용동면 용동1길 80-4 용동복지회관 옥상,전라북도보건환경연구원,2019
전북,운봉읍,전라북도 남원시 운봉읍 황산로 1083 운봉읍 행정복지센터 옥상,전라북도보건환경연구원,2021
전북,임실읍,전라북도 임실군 임실읍 운수로 33-50 청소년문화의집 옥상,전라북도보건환경연구원,2018
전북,장수읍,전라북도 장수군 장수읍 호비로 10 장수군청 옥상,전라북도보건환경연구원,2018
전북,죽항동,전라북도 남원시 비석길 72 죽항동주민센터 옥상 (죽항동),전라북도보건환경연구원,2002
전북,진안읍,전북 진안군 진안읍 진무로 1189 진안군 보건소 옥상,전라북도보건환경연구원,2017
전북,춘포면,전라북도 익산시 춘포면 춘포2길 11 춘포보건지소 옥상,전라북도보건환경연구원,2021
전북,팔복동,전라북도 전주시 덕진구 서귀로 107 청소년자유센터 옥상 (팔복동3가),전라북도보건환경연구원,1997
전북,팔봉동,전북 익산시 무왕로 1338. 익산소방서 옥상,전라북도보건환경연구원,2004
전북,함열읍,전라북도 익산시 함열읍 함열중앙로 83 익산시청 북부청사 옥상,전라북도보건환경연구원,2019
전북,혁신동,전라북도 전주시 덕진구 중동로 150 공원 내 (장동),전라북도보건환경연구원,2019
전북,효자동,전라북도 전주시 완산구 쑥고개로 259 (효자동2가) 전주역사박물관 옥상 (효자동2가),전라북도보건환경연구원,2022
제주,강정동,제주특별자치도 서귀포시 일주서로 166 제주 유나이티드 연습구장 옆(지상) (강정동),제주특별자치도보건환경연구원,
제주,남원읍,제주특별자치도 서귀포시 남원읍 남한로 67 서귀포시 동부노인복지회관,제주특별자치도보건환경연구원,2019
제주,대정읍,제주특별자치도 서귀포시 대정읍 동일하모로149번길 21-8 대정청소년수련관,제주특별자치도보건환경연구원,2018
제주,동홍동,제주 서귀포시 동홍동 453-1(서귀포소방서) 서귀포소방서,제주특별자치도보건환경연구원,2001
제주,성산읍,제주 서귀포시 성산읍 일주동로 4120번길 7 (동부소방서),제주특별자치도보건환경연구원,2017
제주,애월읍,제주특별자치도 제주시 애월읍 고내리 1319 애월근린공원 옆,제주특별자치도보건환경연구원,
제주,연동,제주 제주시 연동 322-1 번지 제주특별자치도청 제2청사 제주특별자치도청 제2청사 옥상,제주특별자치도보건환경연구원,2006
제주,이도동,제주 제주시 이도2동 1176-1(제주시청) 제주시청,제주특별자치도보건환경연구원,1994
제주,조천읍,제주특별자치도 제주시 조천읍 조천18길 11-1 조천읍 체육관,제주특별자치도보건환경연구원,2020
제주,한림읍,제주특별자치도 제주시 한림읍 한림중앙로 71-9 한림읍 체육관,제주특별자치도보건환경연구원,2020
제주,화북동,제주특별자치도 제주시 화북일동 1098 지상 (화북일동),제주특별자치도보건환경연구원,2021
