지역명,측정소명,측정소 주소,운영기관,설치년도
경기,신풍동,경기 수원시 팔달구 신풍로 23번길 68 선경도서관,경기도보건환경연구원,1986
경기,안양2동,경기 안양시 만안구 안양로 384번길 50 안양2동 행정복지센터,경기도보건환경연구원,2004
경기,안양8동,경기도 안양시 만안구 문예로36번길 16 안양아트센터 옥상 (안양동),경기도보건환경연구원,1993
경기,안중,경기 평택시 안중읍 안현로 400 안중읍행정복지센터,경기도보건환경연구원,2008
경기,양평읍,경기도 양평군 양평읍 마유산로 17 양평군보건소 옥상,경기도보건환경연구원,2020
경기,연천,경기 연천군 연천읍 차현로 58 연천군청 지역경제과,경기도보건환경연구원,2010
경기,영통동,경기 수원시 영통구 영통로 217번길 12 영통2동 행정복지센터,경기도보건환경연구원,2001
경기,오남읍,경기 남양주시 오남읍 진건오남로 806-34 오남읍사무소,경기도보건환경연구원,2012
경기,오포1동,경기도 광주시 오포읍 오포로859번길 29 오포1동 행정복지센터 옥상,경기도보건환경연구원,2019
경기,용문면,경기 양평군 용문면 용문로 395 용문도서관,경기도보건환경연구원,2010
경기,우정읍,경기도 화성시 우정읍 쌍봉로 109-14 우정읍 행정복지센터,경기도보건환경연구원,2018
경기,운중동,경기 성남시 분당구 운중로 138번길 10 운중동행정복지센터,경기도보건환경연구원,2009
경기,원곡동,경기도 안산시 단원구 부부로6길 17 근로자운동장 (원곡동),경기도보건환경연구원,1999
경기,원시동,경기 안산시 단원구 산단로 112 근로복지관 민주노총,경기도보건환경연구원,1990
경기,월곶면,경기도 김포시 월곶면 군하로 263 월곶면 주민자치센터 옥상,경기도보건환경연구원,2001
경기,의정부1동,경기 의정부시 가능로152번길 14 의정부1동 주민센터,경기도보건환경연구원,2002
경기,의정부동,경기 의정부시 범골로 138 경기도도로사업소,경기도보건환경연구원,1994
경기,이동읍,경기도 용인시 처인구 이동읍 경기동로 673 이동읍주민자치센터,경기도보건환경연구원,2019
경기,인계동,경기 수원시 팔달구 효원로 241 수원시청,경기도보건환경연구원,1987
경기,일동면,경기도 포천시 일동면 화동로1099번길 30 일동면행정복지센터,경기도보건환경연구원,2017
