STD_YYYYMM,SIDO,비염환자수,아토피환자수,천식환자수
202008,서울특별시,152151,32896,14708
202009,서울특별시,258963,34539,19893
202010,서울특별시,236310,32210,19741
202011,서울특별시,243282,28065,20944
202012,서울특별시,155861,29475,16310
202101,서울특별시,123377,27367,13828
202102,서울특별시,134079,27033,13276
202103,서울특별시,257576,30940,21168
202104,서울특별시,297440,32548,24965
202105,서울특별시,178641,29776,19470
202106,서울특별시,155755,33623,16505
202107,서울특별시,138390,34765,13505
202108,서울특별시,147809,32585,13882
202109,서울특별시,273508,33145,19028
202110,서울특별시,269429,32807,21326
202111,서울특별시,329382,29857,26981
202112,서울특별시,229472,30855,21553
202201,서울특별시,220172,31096,21092
202202,서울특별시,292038,28335,20156
202203,서울특별시,447418,28072,28921
202204,서울특별시,338365,35382,30116
202205,서울특별시,227446,34629,23675
202206,서울특별시,190531,29624,21114
202207,서울특별시,255667,33440,21321
202208,서울특별시,271959,33922,22114
202209,서울특별시,339438,32274,28388
202210,서울특별시,356819,29773,29660
202211,서울특별시,338294,28007,26634
202212,서울특별시,365991,29879,24931
200601,부산광역시,80592,8042,19810
200602,부산광역시,76496,8249,17970
200603,부산광역시,96908,9138,22838
200604,부산광역시,89828,8076,25109
200605,부산광역시,71839,9125,21933
200606,부산광역시,53876,9432,15731
200607,부산광역시,46107,10030,12810
200608,부산광역시,45323,10141,13688
200609,부산광역시,110086,7515,22927
200610,부산광역시,76567,7377,20511
200611,부산광역시,102208,8587,23515
200612,부산광역시,98930,7849,22276
200701,부산광역시,102328,8899,22778
200702,부산광역시,78419,7783,17166
200703,부산광역시,105291,9185,20948
200704,부산광역시,94848,8761,23390
200705,부산광역시,75722,9309,21002
200706,부산광역시,54475,8316,14433
200707,부산광역시,54845,10049,13176
200708,부산광역시,50998,9897,13235
200709,부산광역시,105845,7490,20956
200710,부산광역시,120419,9145,24687
200711,부산광역시,123341,9112,24337
200712,부산광역시,133260,7508,24083
200801,부산광역시,113980,8593,20680
200802,부산광역시,126457,8997,22886
200803,부산광역시,121550,7979,22605
200804,부산광역시,106455,8594,22465
200805,부산광역시,86526,9013,19689
200806,부산광역시,68260,8090,15201
200807,부산광역시,50369,10792,11085
200808,부산광역시,63874,8234,11967
200809,부산광역시,103568,8134,17318
200810,부산광역시,113517,8381,21332
200811,부산광역시,111370,8111,20923
200812,부산광역시,155195,8273,26963
200901,부산광역시,121279,7946,21707
200902,부산광역시,74133,7299,15781
200903,부산광역시,125261,8907,21254
200904,부산광역시,143391,8251,26747
200905,부산광역시,100032,8065,19249
200906,부산광역시,69682,8055,14042
200907,부산광역시,62944,8927,12860
200908,부산광역시,92912,8545,15922
200909,부산광역시,152439,7082,22422
200910,부산광역시,173970,7828,24984
200911,부산광역시,160389,6882,24299
200912,부산광역시,142156,7593,21687
201001,부산광역시,135175,7586,17800
201002,부산광역시,112956,6758,16442
201003,부산광역시,146944,7959,22219
201004,부산광역시,156148,7429,26600
201005,부산광역시,119052,8207,24125
201006,부산광역시,83325,8624,17078
201007,부산광역시,67318,9384,12637
201008,부산광역시,68363,8891,12378
201009,부산광역시,165210,7753,20543
201010,부산광역시,158883,6742,24031
201011,부산광역시,144064,7482,23005
201012,부산광역시,166648,6698,26162
201101,부산광역시,130474,7352,19905
201102,부산광역시,109676,6233,15648
201103,부산광역시,157401,8878,19221
201104,부산광역시,139768,7542,20989
201105,부산광역시,105960,8229,20671
201106,부산광역시,82703,8462,16702
201107,부산광역시,71959,9739,13809
201108,부산광역시,87490,8846,16567
201109,부산광역시,158136,8064,23931
201110,부산광역시,147452,6693,24110
201111,부산광역시,148108,7089,22681
201112,부산광역시,196723,7711,24729
201201,부산광역시,165366,6908,25473
201202,부산광역시,146700,6656,22974
201203,부산광역시,165392,7365,24812
201204,부산광역시,155690,6836,27149
201205,부산광역시,128490,8317,23617
201206,부산광역시,81328,7198,15495
201207,부산광역시,72581,9155,13665
201208,부산광역시,79679,8088,15032
201209,부산광역시,160297,6935,21720
201210,부산광역시,174484,7622,24924
201211,부산광역시,145532,6960,22396
201212,부산광역시,132657,6515,19722
201301,부산광역시,142181,7284,20520
201302,부산광역시,163339,6753,24015
201303,부산광역시,164343,7231,25741
201304,부산광역시,147534,7444,23339
201305,부산광역시,107177,8554,18990
201306,부산광역시,72190,7876,13003
201307,부산광역시,70514,10046,11674
201308,부산광역시,86301,8551,13295
201309,부산광역시,160205,6623,20440
201310,부산광역시,163383,6883,23269
201311,부산광역시,159627,6785,21023
201312,부산광역시,151762,6450,19040
201401,부산광역시,171887,6567,20124
201402,부산광역시,166959,6023,22169
201403,부산광역시,164056,7087,23625
201404,부산광역시,155891,7561,23723
