측정일시,측정소명,이산화질소,오존,일산화탄소,아황산,미세,초미세
20230401,강남구,0.041,0.049,0.5,0.004,82,41
20230401,강남대로,0.054,0.033,0.8,0.003,98,54
20230401,강동구,0.028,0.039,0.5,0.003,86,47
20230401,강변북로,0.062,0.028,0.8,0.004,94,51
20230401,강북구,0.021,0.06,0.6,0.003,80,42
20230401,강서구,0.038,0.049,0.7,0.004,111,56
20230401,공항대로,0.054,0.044,0.7,0.004,102,47
20230401,관악구,0.045,0.035,0.7,0.005,99,53
20230401,광진구,0.031,0.036,0.6,0.003,80,45
20230401,구로구,0.032,0.038,0.6,0.004,110,63
20230401,금천구,0.04,0.05,0.6,0.004,83,50
20230401,노원구,0.033,0.048,0.6,0.004,80,46
20230401,도봉구,0.023,0.057,0.5,0.003,78,41
20230401,도산대로,0.035,0.041,0.8,0.004,102,58
20230401,동대문구,0.036,0.052,0.6,0.004,84,45
20230401,동작구,0.037,0.052,0.6,0.004,85,50
20230401,동작대로,0.054,0.042,0.7,0.004,88,47
20230401,마포구,0.043,0.043,0.7,0.005,89,60
20230401,서대문구,0.019,0.054,0.7,0.004,81,44
20230401,서초구,0.043,0.042,0.6,0.004,96,56
20230401,성동구,0.044,0.045,0.5,0.004,84,40
20230401,성북구,0.04,0.046,0.6,0.004,83,42
20230401,송파구,0.04,0.047,0.6,0.004,90,46
20230401,신촌로,0.047,0.034,0.7,0.004,101,57
20230401,양천구,0.037,0.041,0.6,0.004,100,59
20230401,영등포구,0.042,0.043,0.6,0.004,92,54
20230401,영등포로,0.047,0.038,0.7,0.004,100,54
20230401,용산구,0.043,0.047,0.7,0.004,92,53
20230401,은평구,0.027,0.045,0.8,0.003,83,51
20230401,정릉로,0.043,0.043,0.6,0.004,81,47
20230401,종로,0.038,0.038,0.7,0.004,75,41
20230401,종로구,0.032,0.052,0.6,0.004,78,44
20230401,종로구,0.032,0.052,0.6,0.004,78,44
20230401,중구,0.041,0.05,0.6,0.004,76,45
20230401,중랑구,0.032,0.05,0.5,0.003,76,45
20230401,천호대로,0.055,0.032,0.7,0.004,85,48
20230401,청계천로,0.039,0.046,0.6,0.004,87,48
20230401,한강대로,0.045,0.045,0.7,0.004,100,53
20230401,홍릉로,0.049,0.035,0.7,0.006,82,45
20230401,화랑로,0.047,0.04,0.6,0.004,80,42
20230402,강남구,0.021,0.051,0.4,0.003,47,29
20230402,강남대로,0.033,0.037,0.6,0.002,49,26
20230402,강동구,0.012,0.043,0.4,0.002,45,30
20230402,강변북로,0.032,0.039,0.6,0.003,47,29
20230402,강북구,0.014,0.05,0.4,0.002,43,27
20230402,강서구,0.028,0.044,0.6,0.003,61,32
20230402,공항대로,0.036,0.041,0.6,0.003,58,34
20230402,관악구,0.025,0.038,0.5,0.003,51,32
20230402,광진구,0.013,0.042,0.4,0.003,43,28
20230402,구로구,0.02,0.038,0.5,0.003,65,32
20230402,금천구,0.017,0.056,0.4,0.003,39,28
20230402,노원구,0.018,0.047,0.5,0.003,44,31
20230402,도봉구,0.014,0.052,0.3,0.003,39,24
20230402,도산대로,0.014,0.052,0.6,0.003,43,29
20230402,동대문구,0.021,0.051,0.5,0.003,47,30
20230402,동작구,0.021,0.05,0.4,0.003,43,29
20230402,동작대로,0.037,0.04,0.6,0.003,50,32
20230402,마포구,0.021,0.049,0.5,0.003,43,33
20230402,서대문구,0.012,0.051,0.5,0.003,46,24
20230402,서초구,0.018,0.048,0.4,0.004,42,28
20230402,성동구,0.022,0.051,0.4,0.003,48,28
20230402,성북구,0.027,0.042,0.4,0.003,45,27
20230402,송파구,0.02,0.051,0.5,0.003,50,31
20230402,신촌로,0.025,0.041,0.5,0.003,52,32
20230402,양천구,0.028,0.038,0.5,0.005,55,35
20230402,영등포구,0.03,0.042,0.5,0.003,52,32
