SIDO,STD_YYYYMM,AVG_구리,구리_BAD,AVG_납,납_0.5BAD,납_BAD,AVG_니켈,니켈_BAD,AVG_망간,망간_BAD,AVG_비소,비소_BAD,AVG_철,철_BAD,AVG_카드뮴,카드뮴_BAD,AVG_크롬,크롬_BAD
서울특별시,201301,0.0306,Y,0.0894,N,Y,0.0033,N,0.036,Y,0.0086,Y,0.8287,Y,0.0035,Y,0.0035,N
부산광역시,201301,0.0332,Y,0.051,N,Y,0.0085,Y,0.1266,Y,0.0045,Y,1.9214,Y,0.0005,N,0.0119,Y
대구광역시,201301,0.0165,Y,0.0504,N,Y,0.0006,N,0.0233,N,0.0026,N,0.4938,N,0.0016,Y,0.0027,N
인천광역시,201301,0.0311,Y,0.1104,N,Y,0.0046,Y,0.1618,Y,0.0078,Y,0.7564,Y,0.0025,Y,0.0052,Y
광주광역시,201301,0.0157,N,0.0476,N,Y,0.0014,N,0.0196,N,0.0058,Y,0.4068,N,0.0008,N,0.002,N
대전광역시,201301,0.0244,Y,0.0605,N,Y,0.0055,Y,0.05,Y,0.0066,Y,1.2477,Y,0.002,Y,0.0124,Y
울산광역시,201301,0.0082,N,0.0236,N,Y,0.0021,N,0.0324,Y,0.0027,N,0.6364,Y,0.0006,N,0.0026,N
세종특별자치시,201301,0.0272,N,0.0743,N,N,0.0044,N,0.0605,N,0.0062,N,0.9424,N,0.0017,N,0.0075,N
경기도,201301,0.0664,Y,0.1522,N,Y,0.0075,Y,0.0763,Y,0.0152,Y,1.6929,Y,0.0028,Y,0.0318,Y
강원도,201301,0.0432,Y,0.096,N,Y,0.0042,Y,0.0628,Y,0.0094,Y,0.9395,Y,0.0027,Y,0.0151,Y
충청북도,201301,0.0283,Y,0.1092,N,Y,0.0051,Y,0.0411,Y,0.0105,Y,0.65,Y,0.0022,Y,0.0033,N
충청남도,201301,0.0088,N,0.0456,N,Y,0.0024,N,0.0292,N,0.0005,N,0.5172,N,0.0007,N,0.0016,N
전라북도,201301,0.035,Y,0.1143,N,Y,0.0075,Y,0.0532,Y,0.0085,Y,0.7917,Y,0.0033,Y,0.0055,Y
전라남도,201301,0.0152,N,0.0424,N,Y,0.0048,Y,0.0486,Y,0.0038,N,0.7721,Y,0.0008,N,0.0028,N
경상북도,201301,0.0368,Y,0.0606,N,Y,0.0056,Y,0.1028,Y,0.0004,N,1.7439,Y,0.0004,N,0.0058,Y
경상남도,201301,0.0146,N,0.0613,N,Y,0.003,N,0.0443,Y,0.0058,Y,0.7378,Y,0.0011,Y,0.0066,Y
서울특별시,201302,0.021,Y,0.0736,N,Y,0.0041,Y,0.038,Y,0.0055,Y,0.4645,N,0.0017,Y,0.0039,Y
부산광역시,201302,0.026,Y,0.0297,N,Y,0.0084,Y,0.0682,Y,0.0004,N,1.1952,Y,0.0008,N,0.0116,Y
대구광역시,201302,0.0149,N,0.0284,N,Y,0.0009,N,0.0176,N,0.0018,N,0.4538,N,0.0057,Y,0.0017,N
인천광역시,201302,0.022,Y,0.0546,N,Y,0.0029,N,0.0943,Y,0.006,Y,0.3397,N,0.0012,Y,0.0032,N
광주광역시,201302,0.0078,N,0.0329,N,Y,0.0013,N,0.0185,N,0.0046,Y,0.4066,N,0.0001,N,0.0029,N
대전광역시,201302,0.0226,Y,0.0428,N,Y,0.0046,Y,0.0631,Y,0.007,Y,2.0147,Y,0.0012,Y,0.0075,Y
울산광역시,201302,0.0173,Y,0.0288,N,Y,0.0029,N,0.0277,N,0.0025,N,0.6469,Y,0.0007,N,0.004,Y
세종특별자치시,201302,0.0184,N,0.0463,N,N,0.0039,N,0.0443,N,0.0038,N,0.7522,N,0.0013,N,0.0045,N
경기도,201302,0.0385,Y,0.07,N,Y,0.0045,Y,0.0335,Y,0.0052,Y,0.7204,Y,0.001,Y,0.0097,Y
강원도,201302,0.0202,Y,0.0598,N,Y,0.004,Y,0.0535,Y,0.0059,Y,1.0234,Y,0.0013,Y,0.0075,Y
충청북도,201302,0.0118,N,0.045,N,Y,0.0015,N,0.0196,N,0.005,Y,0.4724,N,0.0008,N,0.0017,N
충청남도,201302,0.0116,N,0.0469,N,Y,0.0034,N,0.0233,N,0.0001,N,0.4891,N,0.0008,N,0.0024,N
전라북도,201302,0.0243,Y,0.1038,N,Y,0.0043,Y,0.0511,Y,0.005,Y,0.9351,Y,0.0017,Y,0.0051,Y
전라남도,201302,0.0084,N,0.0218,N,N,0.002,N,0.0176,N,0.0028,N,0.3274,N,0.0005,N,0.0008,N
경상북도,201302,0.0153,N,0.0141,N,N,0.0119,Y,0.1,Y,0.0002,N,1.0947,Y,0.0013,N,0.0032,N
경상남도,201302,0.0137,N,0.0428,N,Y,0.0024,N,0.0388,Y,0.0054,Y,0.6992,Y,0.001,Y,0.0025,N
서울특별시,201303,0.0453,Y,0.1121,N,Y,0.0066,Y,0.0681,Y,0.0018,N,0.8608,Y,0.0017,Y,0.0058,Y
부산광역시,201303,0.0277,Y,0.0353,N,Y,0.0132,Y,0.0724,Y,0.0021,N,1.4091,Y,0.0008,N,0.0115,Y
대구광역시,201303,0.0296,Y,0.0709,N,Y,0.0056,Y,0.0572,Y,0.0051,Y,1.5116,Y,0.0042,Y,0.0078,Y
인천광역시,201303,0.0283,Y,0.1376,N,Y,0.0101,Y,0.3091,Y,0.0093,Y,0.9027,Y,0.0028,Y,0.0067,Y
광주광역시,201303,0.0318,Y,0.0931,N,Y,0.0052,Y,0.071,Y,0.0106,Y,1.5836,Y,0.0001,N,0.0054,Y
대전광역시,201303,0.0361,Y,0.0986,N,Y,0.008,Y,0.0967,Y,0.0086,Y,3.6812,Y,0.0024,Y,0.008,Y
울산광역시,201303,0.0132,N,0.0298,N,Y,0.0056,Y,0.0524,Y,0.0048,Y,1.2029,Y,0.001,Y,0.0044,Y
세종특별자치시,201303,0.0306,N,0.077,N,N,0.0081,N,0.1006,N,0.0067,N,1.7222,N,0.002,N,0.0089,N
경기도,201303,0.0498,Y,0.0894,N,Y,0.009,Y,0.0764,Y,0.0093,Y,1.6714,Y,0.0026,Y,0.0165,Y
강원도,201303,0.0364,Y,0.1029,N,Y,0.0086,Y,0.1461,Y,0.0105,Y,2.2331,Y,0.0025,Y,0.0152,Y
충청북도,201303,0.0267,Y,0.0825,N,Y,0.0046,Y,0.0537,Y,0.0101,Y,1.5082,Y,0.0032,Y,0.0047,Y
충청남도,201303,0.0118,N,0.0241,N,Y,0.0038,Y,0.0256,N,0.003,N,0.5016,N,0.0008,N,0.0016,N
전라북도,201303,0.0108,N,0.0585,N,Y,0.0034,N,0.0418,Y,0.0064,Y,0.6389,Y,0.0024,Y,0.0039,Y
전라남도,201303,0.0204,Y,0.0607,N,Y,0.0049,Y,0.0637,Y,0.0072,Y,1.8608,Y,0.0014,Y,0.0031,N
경상북도,201303,0.0541,Y,0.0894,N,Y,0.0105,Y,0.2437,Y,0.0003,N,3.4349,Y,0.002,Y,0.0129,Y
경상남도,201303,0.037,Y,0.0705,N,Y,0.022,Y,0.1307,Y,0.0118,Y,2.8322,Y,0.002,Y,0.0257,Y
서울특별시,201304,0.0317,Y,0.1042,N,Y,0.0103,Y,0.0523,Y,0.0019,N,0.8453,Y,0.003,Y,0.0045,Y
부산광역시,201304,0.0244,Y,0.0376,N,Y,0.0101,Y,0.0832,Y,0.003,N,1.7524,Y,0.001,Y,0.0095,Y
대구광역시,201304,0.0152,N,0.0277,N,Y,0.0018,N,0.028,N,0.002,N,0.7162,Y,0.0016,Y,0.002,N
인천광역시,201304,0.0137,N,0.0414,N,Y,0.0043,Y,0.041,Y,0.0026,N,0.5418,N,0.0008,N,0.0036,Y
광주광역시,201304,0.0122,N,0.0294,N,Y,0.0038,Y,0.0316,Y,0.003,N,0.6931,Y,0.0007,N,0.0033,N
대전광역시,201304,0.0156,N,0.0461,N,Y,0.0066,Y,0.0541,Y,0.003,N,1.8115,Y,0.0013,Y,0.0082,Y
울산광역시,201304,0.0131,N,0.0297,N,Y,0.0038,Y,0.0402,Y,0.002,N,0.7336,Y,0.0008,N,0.0042,Y
세종특별자치시,201304,0.019,N,0.0425,N,N,0.0051,N,0.0482,N,0.0027,N,0.9999,N,0.0012,N,0.0052,N
경기도,201304,0.0407,Y,0.0477,N,Y,0.0038,Y,0.0357,Y,0.0033,N,0.74,Y,0.0012,Y,0.0116,Y
강원도,201304,0.0132,N,0.0387,N,Y,0.0037,N,0.0512,Y,0.003,N,1.119,Y,0.0009,Y,0.0048,Y
충청북도,201304,0.0081,N,0.026,N,Y,0.002,N,0.0224,N,0.002,N,0.6558,Y,0.0006,N,0.0026,N
충청남도,201304,0.0099,N,0.0369,N,Y,0.0044,Y,0.0424,Y,0.0023,N,0.8704,Y,0.001,Y,0.0025,N
전라북도,201304,0.0351,Y,0.079,N,Y,0.0054,Y,0.0785,Y,0.0062,Y,1.1922,Y,0.0019,Y,0.006,Y
전라남도,201304,0.0186,Y,0.0419,N,Y,0.0058,Y,0.0386,Y,0.003,N,0.8812,Y,0.0012,N,0.0033,N
경상북도,201304,0.0227,Y,0.0256,N,Y,0.0043,Y,0.0801,Y,0.0002,N,1.5373,Y,0.0012,N,0.0048,Y
경상남도,201304,0.0105,N,0.0253,N,Y,0.0057,Y,0.0438,Y,0.0029,N,0.9088,Y,0.0005,N,0.0078,Y
서울특별시,201305,0.0494,Y,0.1121,N,Y,0.0066,Y,0.0607,Y,0.0019,N,0.8453,Y,0.0032,Y,0.007,Y
부산광역시,201305,0.0325,Y,0.0383,N,Y,0.0121,Y,0.0696,Y,0.0093,Y,1.1982,Y,0.0012,Y,0.0111,Y
대구광역시,201305,0.0141,N,0.0303,N,Y,0.0028,N,0.0329,Y,0.0018,N,0.7482,Y,0.0007,N,0.0042,Y
인천광역시,201305,0.0302,Y,0.0685,N,Y,0.0094,Y,0.0362,Y,0.0039,N,0.6398,Y,0.0014,Y,0.0043,Y
광주광역시,201305,0.0072,N,0.0173,N,N,0.0011,N,0.0221,N,0.0023,N,0.369,N,0.0011,N,0.0029,N
대전광역시,201305,0.0226,Y,0.0381,N,Y,0.0045,Y,0.0446,Y,0.0021,N,1.4066,Y,0.0014,Y,0.0044,Y
울산광역시,201305,0.0154,N,0.0211,N,N,0.0046,Y,0.0384,Y,0.0036,N,0.6778,Y,0.0006,N,0.0022,N
세종특별자치시,201305,0.0252,N,0.0432,N,N,0.0061,N,0.0578,N,0.0037,N,0.8938,N,0.0011,N,0.006,N
경기도,201305,0.0561,Y,0.0697,N,Y,0.0064,Y,0.0492,Y,0.0044,Y,0.864,Y,0.0006,N,0.0078,Y
강원도,201305,0.0286,Y,0.0486,N,Y,0.0041,Y,0.1345,Y,0.0058,Y,1.1468,Y,0.001,Y,0.013,Y
충청북도,201305,0.017,Y,0.0362,N,Y,0.0031,N,0.025,N,0.0041,N,0.7132,Y,0.0008,N,0.0023,N
충청남도,201305,0.0134,N,0.0468,N,Y,0.0058,Y,0.0314,Y,0.0046,Y,0.7397,Y,0.0014,Y,0.0022,N
전라북도,201305,0.0297,Y,0.0497,N,Y,0.0041,Y,0.0586,Y,0.0045,Y,0.8199,Y,0.0009,Y,0.0043,Y
전라남도,201305,0.0094,N,0.0122,N,N,0.0024,N,0.0138,N,0.0014,N,0.4561,N,0.0011,N,0.0008,N
경상북도,201305,0.0281,Y,0.0375,N,Y,0.0068,Y,0.1835,Y,0.0002,N,1.5646,Y,0.0007,N,0.0046,Y
경상남도,201305,0.0245,Y,0.0222,N,Y,0.0177,Y,0.066,Y,0.006,Y,1.2181,Y,0.0007,N,0.0193,Y
서울특별시,201306,0.0203,Y,0.0859,N,Y,0.0028,N,0.0221,N,0.002,N,0.5294,N,0.0032,Y,0.0049,Y
부산광역시,201306,0.0217,Y,0.048,N,Y,0.0094,Y,0.0416,Y,0.0119,Y,0.6523,Y,0.0009,Y,0.0071,Y
대구광역시,201306,0.0126,N,0.0262,N,Y,0.0018,N,0.0334,Y,0.002,N,0.7384,Y,0.0007,N,0.0032,N
인천광역시,201306,0.0241,Y,0.0455,N,Y,0.0086,Y,0.0369,Y,0.0018,N,0.7375,Y,0.0011,Y,0.0059,Y
광주광역시,201306,0.0094,N,0.0161,N,N,0.002,N,0.0188,N,0.0026,N,0.418,N,0.0007,N,0.0022,N
대전광역시,201306,0.0187,Y,0.0238,N,Y,0.0034,N,0.0412,Y,0.0026,N,1.2562,Y,0.0013,Y,0.0056,Y
울산광역시,201306,0.0171,Y,0.0244,N,Y,0.0055,Y,0.0577,Y,0.0044,Y,0.7605,Y,0.0008,N,0.0028,N
세종특별자치시,201306,0.0201,N,0.0345,N,N,0.0056,N,0.0498,N,0.0033,N,0.7821,N,0.0009,N,0.0051,N
경기도,201306,0.0595,Y,0.0794,N,Y,0.0043,Y,0.0259,N,0.002,N,0.6069,Y,0.0009,Y,0.0107,Y
강원도,201306,0.0212,Y,0.0261,N,Y,0.003,N,0.0765,Y,0.0056,Y,0.8712,Y,0.0008,N,0.0079,Y
충청북도,201306,0.019,Y,0.0208,N,N,0.0033,N,0.0245,N,0.0023,N,0.6812,Y,0.0006,N,0.0023,N
충청남도,201306,0.0148,N,0.0261,N,Y,0.009,Y,0.0344,Y,0.0002,N,0.6606,Y,0.0008,N,0.0026,N
전라북도,201306,0.0238,Y,0.0506,N,Y,0.0046,Y,0.0519,Y,0.0061,Y,0.9811,Y,0.0014,Y,0.0057,Y
전라남도,201306,0.0105,N,0.007,N,N,0.0051,Y,0.0142,N,0.0022,N,0.2447,N,0.0001,N,0.0012,N
경상북도,201306,0.0159,Y,0.0239,N,Y,0.009,Y,0.2214,Y,0.0001,N,1.8781,Y,0.0001,N,0.0079,Y
경상남도,201306,0.0135,N,0.0131,N,N,0.0115,Y,0.0471,Y,0.004,N,0.7155,Y,0.0004,N,0.0072,Y
서울특별시,201307,0.0187,Y,0.0558,N,Y,0.0017,N,0.0161,N,0.0013,N,0.4018,N,0.0014,Y,0.0051,Y
부산광역시,201307,0.0177,Y,0.0107,N,N,0.0113,Y,0.0424,Y,0.0002,N,0.7143,Y,0.0002,N,0.0102,Y
대구광역시,201307,0.006,N,0.0084,N,N,0.0018,N,0.0104,N,0.0019,N,0.2522,N,0.0006,N,0.0028,N
인천광역시,201307,0.012,N,0.0142,N,N,0.0035,N,0.0139,N,0.0004,N,0.257,N,0.0006,N,0.0039,Y
광주광역시,201307,0.0042,N,0.0039,N,N,0.0037,N,0.0041,N,0.0009,N,0.065,N,0.0006,N,0.0012,N
대전광역시,201307,0.0093,N,0.0804,N,Y,0.0019,N,0.0125,N,0.0016,N,0.2904,N,0.001,Y,0.001,N
울산광역시,201307,0.015,N,0.0284,N,Y,0.0046,Y,0.0288,N,0.0015,N,0.4237,N,0.0007,N,0.003,N
세종특별자치시,201307,0.0125,N,0.0194,N,N,0.0037,N,0.0199,N,0.0019,N,0.3389,N,0.0006,N,0.0037,N
경기도,201307,0.0338,Y,0.0089,N,N,0.0029,N,0.0232,N,0.0008,N,0.2711,N,0.0002,N,0.0072,Y
강원도,201307,0.0119,N,0.041,N,Y,0.0027,N,0.0202,N,0.0031,N,0.3918,N,0.0008,N,0.0016,N
충청북도,201307,0.0085,N,0.0098,N,N,0.001,N,0.0084,N,0.0016,N,0.2494,N,0.0003,N,0.0008,N
충청남도,201307,0.0044,N,0.0035,N,N,0.0026,N,0.0061,N,0.001,N,0.1358,N,0.0012,Y,0.0005,N
전라북도,201307,0.0111,N,0.0082,N,N,0.0023,N,0.0116,N,0.0008,N,0.2874,N,0.0002,N,0.0031,N
전라남도,201307,0.0054,N,0.0016,N,N,0.0026,N,0.0473,Y,0.0121,Y,0.2202,N,0.0001,N,0.0007,N
경상북도,201307,0.0222,Y,0.01,N,N,0.0037,N,0.0236,N,0.0003,N,0.6381,Y,0.0006,N,0.0037,N
경상남도,201307,0.0079,N,0.0067,N,N,0.0098,Y,0.0297,N,0.0008,N,0.4859,N,0.0003,N,0.0111,Y
서울특별시,201308,0.0099,N,0.0306,N,Y,0.004,Y,0.0191,N,0.0018,N,0.3507,N,0.0012,Y,0.0045,Y
부산광역시,201308,0.0202,Y,0.0127,N,N,0.01,Y,0.0448,Y,0.0008,N,0.6808,Y,0.0004,N,0.01,Y
대구광역시,201308,0.0133,N,0.0349,N,Y,0.0053,Y,0.0204,N,0.0022,N,0.388,N,0.0015,Y,0.0026,N
인천광역시,201308,0.0216,Y,0.0386,N,Y,0.0066,Y,0.0348,Y,0.0047,Y,0.3395,N,0.0013,Y,0.004,Y
광주광역시,201308,0.012,N,0.0205,N,N,0.0057,N,0.0139,N,0.005,Y,0.4116,N,0.001,N,0.0014,N
대전광역시,201308,0.0146,N,0.0474,N,Y,0.0034,N,0.024,N,0.0054,Y,0.737,Y,0.0014,Y,0.0036,Y
울산광역시,201308,0.0181,Y,0.0356,N,Y,0.0078,Y,0.0346,Y,0.002,N,0.5463,N,0.0012,Y,0.0031,N
세종특별자치시,201308,0.0165,N,0.0312,N,N,0.0057,N,0.0326,N,0.0035,N,0.538,N,0.001,N,0.0056,N
경기도,201308,0.0355,Y,0.048,N,Y,0.0067,Y,0.0327,Y,0.004,N,0.7327,Y,0.0006,N,0.0263,Y
강원도,201308,0.0115,N,0.0273,N,Y,0.0026,N,0.0318,Y,0.0043,Y,0.3409,N,0.0009,Y,0.0038,Y
충청북도,201308,0.014,N,0.029,N,Y,0.0023,N,0.0168,N,0.005,Y,0.4146,N,0.0009,Y,0.0016,N
충청남도,201308,0.0114,N,0.0362,N,Y,0.0049,Y,0.0189,N,0.0052,Y,0.3011,N,0.0014,Y,0.0016,N
전라북도,201308,0.0122,N,0.0288,N,Y,0.0029,N,0.0657,Y,0.0051,Y,0.1911,N,0.0013,Y,0.0023,N
전라남도,201308,0.0087,N,0.0165,N,N,0.0002,N,0.0111,N,0.0014,N,0.1874,N,0.001,N,0.0001,N
경상북도,201308,0.0251,Y,0.038,N,Y,0.0091,Y,0.0774,Y,0.0007,N,1.6565,Y,0.0005,N,0.0078,Y
경상남도,201308,0.0195,Y,0.0242,N,Y,0.0144,Y,0.0431,Y,0.0045,Y,0.7917,Y,0.0008,N,0.011,Y
서울특별시,201309,0.017,Y,0.0285,N,Y,0.0035,N,0.0252,N,0.0018,N,0.4782,N,0.0014,Y,0.0045,Y
부산광역시,201309,0.012,N,0.0176,N,N,0.0018,N,0.0083,N,0.0027,N,0.2092,N,0.0001,N,0.0014,N
대구광역시,201309,0.0104,N,0.0206,N,N,0.0016,N,0.02,N,0.0035,N,0.3671,N,0.0006,N,0.0026,N
인천광역시,201309,0.0342,Y,0.05,N,Y,0.0052,Y,0.0252,N,0.0058,Y,0.6043,Y,0.0012,Y,0.0059,Y
광주광역시,201309,0.0082,N,0.0072,N,N,0.0036,N,0.0078,N,0.0013,N,0.1339,N,0.0007,N,0.0043,N
대전광역시,201309,0.0167,Y,0.0302,N,Y,0.0048,Y,0.0268,N,0.0032,N,0.6916,Y,0.001,Y,0.0058,Y
울산광역시,201309,0.0155,N,0.0807,N,Y,0.0038,Y,0.047,Y,0.005,Y,0.5176,N,0.001,Y,0.002,N
세종특별자치시,201309,0.0163,N,0.0267,N,N,0.0036,N,0.0384,N,0.0028,N,0.4885,N,0.0007,N,0.0043,N
경기도,201309,0.042,Y,0.0168,N,N,0.0044,Y,0.0213,N,0.0012,N,0.1932,N,0.0003,N,0.0043,N
강원도,201309,0.011,N,0.0179,N,N,0.0035,N,0.075,Y,0.0024,N,0.4433,N,0.0006,N,0.0103,Y
충청북도,201309,0.0122,N,0.0186,N,N,0.0017,N,0.0124,N,0.0016,N,0.3019,N,0.0006,N,0.0013,N
충청남도,201309,0.0019,N,0.0128,N,N,0.0007,N,0.0084,N,0.002,N,0.1032,N,0.0002,N,0.0003,N
전라북도,201309,0.0084,N,0.0266,N,Y,0.0014,N,0.0428,Y,0.0023,N,0.1297,N,0.0007,N,0.0016,N
전라남도,201309,0.0131,N,0.0179,N,N,0.0077,Y,0.0249,N,0.0031,N,0.6734,Y,0.0004,N,0.0031,N
경상북도,201309,0.0297,Y,0.0379,N,Y,0.0068,Y,0.191,Y,0.0011,N,1.8664,Y,0.0007,N,0.0075,Y
경상남도,201309,0.0117,N,0.0177,N,N,0.0037,N,0.0398,Y,0.0045,Y,0.6142,Y,0.0005,N,0.0094,Y
서울특별시,201310,0.0167,Y,0.0217,N,N,0.0021,N,0.0124,N,0.0011,N,0.3752,N,0.001,Y,0.0031,N
부산광역시,201310,0.0157,N,0.0239,N,Y,0.0042,Y,0.0237,N,0.0011,N,0.5907,Y,0.0001,N,0.0039,Y
대구광역시,201310,0.0092,N,0.0152,N,N,0.001,N,0.0141,N,0.0008,N,0.3334,N,0.0002,N,0.0016,N
인천광역시,201310,0.0328,Y,0.0424,N,Y,0.0043,Y,0.0467,Y,0.0041,N,0.7626,Y,0.0014,Y,0.0066,Y
광주광역시,201310,0.0088,N,0.0089,N,N,0.0032,N,0.0096,N,0.002,N,0.0887,N,0.0008,N,0.0004,N
대전광역시,201310,0.0169,Y,0.02,N,N,0.0033,N,0.0401,Y,0.0016,N,0.6957,Y,0.0007,N,0.0046,Y
울산광역시,201310,0.0179,Y,0.0179,N,N,0.0054,Y,0.044,Y,0.004,N,0.6827,Y,0.001,Y,0.0028,N
세종특별자치시,201310,0.015,N,0.0194,N,N,0.0032,N,0.0336,N,0.0018,N,0.5193,N,0.0008,N,0.0033,N
경기도,201310,0.0241,Y,0.0072,N,N,0.0019,N,0.0154,N,0.0004,N,0.4597,N,0.0021,Y,0.0032,N
강원도,201310,0.0077,N,0.0188,N,N,0.0011,N,0.0768,Y,0.0021,N,0.3997,N,0.0006,N,0.0077,Y
충청북도,201310,0.0122,N,0.0183,N,N,0.0034,N,0.0192,N,0.0016,N,0.4458,N,0.0005,N,0.0014,N
충청남도,201310,0.01,N,0.0248,N,Y,0.0022,N,0.0281,N,0.0016,N,0.5297,N,0.0008,N,0.003,N
전라북도,201310,0.0101,N,0.0219,N,N,0.0013,N,0.0177,N,0.0016,N,0.1807,N,0.0007,N,0.0015,N
전라남도,201310,0.0131,N,0.0179,N,N,0.0077,Y,0.0249,N,0.0031,N,0.6734,Y,0.0004,N,0.0031,N
경상북도,201310,0.0199,Y,0.0211,N,N,0.0025,N,0.1042,Y,0.0002,N,1.0589,Y,0.0008,N,0.0026,N
경상남도,201310,0.0099,N,0.0111,N,N,0.004,Y,0.027,N,0.0015,N,0.5119,N,0.0005,N,0.0035,N
서울특별시,201311,0.0375,Y,0.0535,N,Y,0.0035,N,0.0399,Y,0.0018,N,0.9489,Y,0.0017,Y,0.0044,Y
부산광역시,201311,0.0188,Y,0.0242,N,Y,0.0038,Y,0.0391,Y,0.0027,N,0.7875,Y,0.0002,N,0.0061,Y
대구광역시,201311,0.0224,Y,0.0348,N,Y,0.0022,N,0.0298,N,0.0018,N,0.602,Y,0.001,Y,0.0036,Y
인천광역시,201311,0.0489,Y,0.0749,N,Y,0.0048,Y,0.0546,Y,0.0064,Y,0.8315,Y,0.0019,Y,0.0064,Y
광주광역시,201311,0.0077,N,0.0197,N,N,0.0037,N,0.0136,N,0.0014,N,0.1605,N,0.001,N,0.0013,N
대전광역시,201311,0.0249,Y,0.0373,N,Y,0.0062,Y,0.0686,Y,0.0042,Y,0.986,Y,0.0016,Y,0.0054,Y
울산광역시,201311,0.0102,N,0.0195,N,N,0.0015,N,0.0228,N,0.0018,N,0.3792,N,0.0003,N,0.002,N
세종특별자치시,201311,0.022,N,0.0348,N,N,0.0037,N,0.0414,N,0.0027,N,0.6958,N,0.001,N,0.0045,N
경기도,201311,0.0208,Y,0.025,N,Y,0.0018,N,0.0231,N,0.0026,N,0.5475,N,0.001,N,0.0045,N
강원도,201311,0.0111,N,0.0234,N,Y,0.0014,N,0.0445,Y,0.0026,N,0.4767,N,0.0007,N,0.0077,Y
충청북도,201311,0.0188,Y,0.0382,N,Y,0.0026,N,0.0217,N,0.003,N,0.5204,N,0.0014,Y,0.0021,N
충청남도,201311,0.0085,N,0.0244,N,Y,0.0024,N,0.0168,N,0.0011,N,0.3267,N,0.0008,N,0.0014,N
전라북도,201311,0.0108,N,0.0331,N,Y,0.0014,N,0.0169,N,0.0022,N,0.1945,N,0.001,Y,0.0016,N
전라남도,201311,0.035,Y,0.0361,N,Y,0.0061,Y,0.0233,N,0.0027,N,0.8622,Y,0.0017,Y,0.0045,N
경상북도,201311,0.0338,Y,0.0402,N,Y,0.0064,Y,0.1508,Y,0.0005,N,1.9321,Y,0.0001,N,0.0066,Y
경상남도,201311,0.0205,Y,0.0374,N,Y,0.0082,Y,0.0558,Y,0.0053,Y,0.8816,Y,0.0009,Y,0.0098,Y
서울특별시,201312,0.0224,Y,0.0361,N,Y,0.0028,N,0.0221,N,0.002,N,0.4958,N,0.0022,Y,0.0033,N
부산광역시,201312,0.0131,N,0.0149,N,N,0.007,Y,0.0458,Y,0.0036,N,0.6265,Y,0.0013,N,0.0062,Y
대구광역시,201312,0.0116,N,0.0258,N,Y,0.0014,N,0.0171,N,0.0031,N,0.3445,N,0.0036,Y,0.0023,N
인천광역시,201312,0.0266,Y,0.0457,N,Y,0.0021,N,0.0317,Y,0.0049,Y,0.3371,N,0.0014,Y,0.0027,N
광주광역시,201312,0.0039,N,0.0175,N,N,0.0001,N,0.0099,N,0.0032,N,0.1144,N,0.0013,N,0.0022,N
대전광역시,201312,0.0147,N,0.0282,N,Y,0.0046,Y,0.0356,Y,0.0063,Y,0.66,Y,0.0012,Y,0.0043,Y
울산광역시,201312,0.0147,N,0.029,N,Y,0.0043,Y,0.0315,Y,0.0013,N,0.6412,Y,0.0002,N,0.0034,N
세종특별자치시,201312,0.014,N,0.0301,N,N,0.0032,N,0.029,N,0.0036,N,0.5121,N,0.0013,N,0.0035,N
경기도,201312,0.0322,Y,0.0721,N,Y,0.0039,Y,0.038,Y,0.0064,Y,0.8247,Y,0.0013,N,0.0004,N
강원도,201312,0.0078,N,0.0293,N,Y,0.0015,N,0.0586,Y,0.0038,N,0.3783,N,0.0011,Y,0.0097,Y
충청북도,201312,0.0099,N,0.0542,N,Y,0.002,N,0.016,N,0.0034,N,0.3644,N,0.0007,N,0.0016,N
충청남도,201312,0.0098,N,0.0348,N,Y,0.0033,N,0.0226,N,0.0044,Y,0.35,N,0.0008,N,0.0035,N
전라북도,201312,0.0065,N,0.0214,N,N,0.001,N,0.0104,N,0.0019,N,0.1328,N,0.0007,N,0.0012,N
전라남도,201312,0.0004,N,0.0075,N,N,0.0032,N,0.0178,N,0.0058,Y,0.6712,Y,0.0013,N,0.0001,N
경상북도,201312,0.024,Y,0.0136,N,N,0.0039,Y,0.0394,Y,0.0002,N,1.1527,Y,0.0013,N,0.0034,N
경상남도,201312,0.0131,N,0.0211,N,N,0.0072,Y,0.0388,Y,0.0038,N,0.5882,Y,0.0008,N,0.0086,Y
서울특별시,201401,0.0425,Y,0.0735,N,Y,0.0043,Y,0.0371,Y,0.0071,Y,1.0051,Y,0.0022,Y,0.0051,Y
부산광역시,201401,0.0161,Y,0.0284,N,Y,0.0041,Y,0.0484,Y,0.0029,N,0.6587,Y,0.0016,Y,0.0054,Y
대구광역시,201401,0.0196,Y,0.0437,N,Y,0.0028,N,0.0268,N,0.005,Y,0.557,N,0.0026,Y,0.0034,N
인천광역시,201401,0.0359,Y,0.0805,N,Y,0.0048,Y,0.0499,Y,0.0069,Y,0.7033,Y,0.0026,Y,0.0047,Y
광주광역시,201401,0.0154,N,0.0202,N,N,0.0016,N,0.0162,N,0.0038,N,0.3801,N,0.0009,Y,0.0036,N
대전광역시,201401,0.0173,Y,0.053,N,Y,0.0058,Y,0.0424,Y,0.012,Y,0.8182,Y,0.0022,Y,0.0044,Y
