SIDO,STD_YYYYMM,AVG_구리,구리_BAD,AVG_납,납_0.5BAD,납_BAD,AVG_니켈,니켈_BAD,AVG_망간,망간_BAD,AVG_비소,비소_BAD,AVG_철,철_BAD,AVG_카드뮴,카드뮴_BAD,AVG_크롬,크롬_BAD
경상남도,201610,0.0155,N,0.0161,N,N,0.0039,Y,0.0233,N,0.0053,Y,0.5684,N,0.0008,N,0.0027,N
서울특별시,201611,0.0267,Y,0.0197,N,N,0.0019,N,0.0234,N,0.0038,N,0.7242,Y,0.0008,N,0.0025,N
부산광역시,201611,0.0169,Y,0.013,N,N,0.0028,N,0.0317,Y,0.0027,N,0.5718,N,0.0005,N,0.004,Y
대구광역시,201611,0.0214,Y,0.024,N,Y,0.0028,N,0.0224,N,0.0028,N,0.5347,N,0.0011,Y,0.003,N
인천광역시,201611,0.0209,Y,0.0241,N,Y,0.0031,N,0.0305,N,0.0028,N,0.5262,N,0.0009,Y,0.0041,Y
광주광역시,201611,0.0076,N,0.0101,N,N,0.0008,N,0.0121,N,0.0014,N,0.358,N,0.0001,N,0.001,N
대전광역시,201611,0.0156,N,0.0288,N,Y,0.0032,N,0.029,N,0.0233,Y,0.8039,Y,0.0008,N,0.013,Y
울산광역시,201611,0.0163,Y,0.0179,N,N,0.0021,N,0.0223,N,0.0026,N,0.4981,N,0.0004,N,0.0014,N
세종특별자치시,201611,0.0157,N,0.0232,N,N,0.0027,N,0.0267,N,0.0039,N,0.5236,N,0.0007,N,0.0037,N
경기도,201611,0.01,N,0.0186,N,N,0.0009,N,0.0148,N,0.0034,N,0.4067,N,0.0008,N,0.0014,N
강원도,201611,0.0245,Y,0.0318,N,Y,0.0033,N,0.0429,Y,0.0034,N,0.7695,Y,0.0009,Y,0.0059,Y
충청북도,201611,0.0116,N,0.0166,N,N,0.0044,Y,0.0156,N,0.003,N,0.3812,N,0.001,Y,0.003,N
충청남도,201611,0.0088,N,0.02,N,N,0.0023,N,0.0209,N,0.0028,N,0.2302,N,0.0007,N,0.0013,N
전라북도,201611,0.024,Y,0.0221,N,N,0.001,N,0.0101,N,0.0017,N,0.0958,N,0.0008,N,0.0009,N
전라남도,201611,0.0085,N,0.058,N,Y,0.0006,N,0.0164,N,0.0022,N,0.4055,N,0.0007,N,0.001,N
경상북도,201611,0.0125,N,0.0314,N,Y,0.0091,Y,0.0822,Y,0.0002,N,1.0009,Y,0.0007,N,0.0104,Y
경상남도,201611,0.0103,N,0.012,N,N,0.0028,N,0.0256,N,0.003,N,0.5477,N,0.0005,N,0.0033,N
서울특별시,201612,0.0273,Y,0.0279,N,Y,0.0021,N,0.0248,N,0.0062,Y,0.6161,Y,0.0012,Y,0.0034,N
부산광역시,201612,0.0256,Y,0.0252,N,Y,0.0089,Y,0.0737,Y,0.0046,Y,1.1872,Y,0.0009,Y,0.0103,Y
대구광역시,201612,0.0348,Y,0.0453,N,Y,0.0066,Y,0.0418,Y,0.0056,Y,0.809,Y,0.0025,Y,0.0048,Y
인천광역시,201612,0.0201,Y,0.0288,N,Y,0.003,N,0.023,N,0.0042,Y,0.4347,N,0.001,Y,0.0013,N
광주광역시,201612,0.0219,Y,0.0317,N,Y,0.0015,N,0.0246,N,0.0039,N,0.5537,N,0.0011,Y,0.002,N
대전광역시,201612,0.0082,N,0.0268,N,Y,0.0038,Y,0.0308,Y,0.0044,Y,0.4462,N,0.0006,N,0.0054,Y
울산광역시,201612,0.0147,N,0.0218,N,N,0.0027,N,0.0234,N,0.0014,N,0.5715,N,0.0002,N,0.0005,N
세종특별자치시,201612,0.0222,N,0.0306,N,N,0.0045,N,0.0343,N,0.0038,N,0.6168,N,0.0011,N,0.0038,N
경기도,201612,0.0129,N,0.0233,N,Y,0.001,N,0.0148,N,0.003,N,0.258,N,0.001,Y,0.0013,N
강원도,201612,0.0406,Y,0.0418,N,Y,0.0047,Y,0.0463,Y,0.0077,Y,0.9256,Y,0.0022,Y,0.0056,Y
충청북도,201612,0.0217,Y,0.041,N,Y,0.0099,Y,0.0273,N,0.0022,N,0.6838,Y,0.001,Y,0.0033,N
충청남도,201612,0.0115,N,0.0236,N,Y,0.0028,N,0.0227,N,0.0056,Y,0.5404,N,0.0008,N,0.0016,N
전라북도,201612,0.0213,Y,0.0216,N,N,0.0008,N,0.0097,N,0.0018,N,0.0889,N,0.0007,N,0.0004,N
전라남도,201612,0.0118,N,0.0497,N,Y,0.0078,Y,0.0567,Y,0.0018,N,0.4179,N,0.0006,N,0.0002,N
경상북도,201612,0.0111,N,0.0247,N,Y,0.0084,Y,0.0472,Y,0.0007,N,0.9213,Y,0.0011,N,0.0118,Y
경상남도,201612,0.0501,Y,0.026,N,Y,0.0032,N,0.0482,Y,0.0046,Y,0.7977,Y,0.0011,Y,0.0047,Y
서울특별시,201701,0.0183,Y,0.0211,N,N,0.0018,N,0.0223,N,0.0075,Y,0.5207,N,0.0009,Y,0.003,N
부산광역시,201701,0.0231,Y,0.0133,N,N,0.0044,Y,0.0459,Y,0.0026,N,0.7615,Y,0.0004,N,0.0062,Y
대구광역시,201701,0.0104,N,0.025,N,Y,0.0014,N,0.0154,N,0.005,Y,0.3755,N,0.0015,Y,0.0018,N
인천광역시,201701,0.016,Y,0.0238,N,Y,0.0021,N,0.0243,N,0.0061,Y,0.4246,N,0.0009,Y,0.0025,N
광주광역시,201701,0.0047,N,0.0142,N,N,0.0016,N,0.0097,N,0.0018,N,0.2514,N,0.0003,N,0.0007,N
대전광역시,201701,0.0138,N,0.0256,N,Y,0.0017,N,0.0343,Y,0.0038,N,0.6142,Y,0.0009,Y,0.0032,N
울산광역시,201701,0.009,N,0.0159,N,N,0.001,N,0.016,N,0.001,N,0.4089,N,0.0001,N,0.0019,N
세종특별자치시,201701,0.0151,N,0.02,N,N,0.0024,N,0.0217,N,0.0037,N,0.4466,N,0.0007,N,0.0034,N
경기도,201701,0.0364,Y,0.0372,N,Y,0.0041,Y,0.0359,Y,0.0098,Y,0.8503,Y,0.0014,Y,0.0065,Y
강원도,201701,0.0076,N,0.0173,N,N,0.0012,N,0.0237,N,0.0046,Y,0.5238,N,0.0008,N,0.0017,N
충청북도,201701,0.0161,Y,0.0297,N,Y,0.0022,N,0.015,N,0.0044,Y,0.3641,N,0.0009,Y,0.0035,N
충청남도,201701,0.0062,N,0.0186,N,N,0.0023,N,0.0154,N,0.0029,N,0.3314,N,0.0006,N,0.001,N
전라북도,201701,0.0198,Y,0.0175,N,N,0.001,N,0.0082,N,0.0017,N,0.1154,N,0.0009,Y,0.0015,N
전라남도,201701,0.003,N,0.0152,N,N,0.0009,N,0.0118,N,0.0016,N,0.2045,N,0.0004,N,0.0034,N
