STD_YYYYMM,SIDO,비염환자수,아토피환자수,천식환자수,평균기온,평균상대습도,평균증기압,평균최고기온,평균최저기온,평균풍속,AVG_PM10,PM10_BAD,PM10_80BAD,AVG_PM2.5,PM2_BAD,PM2_35BAD,AVG_아황산,아황산_0.05BAD,아황산_BAD,AVG_이산화,이산화_0.06BAD,이산화_0.03BAD,이산화_BAD,AVG_일산화,일산화_9BAD,일산화_BAD,차량수,AVG_구리,구리_BAD,AVG_납,납_0.5BAD,납_BAD,AVG_니켈,니켈_BAD,AVG_망간,망간_BAD,AVG_비소,비소_BAD,AVG_철,철_BAD,AVG_카드뮴,카드뮴_BAD,AVG_크롬,크롬_BAD
201607,서울특별시,250025,32131,33312,26.2,73.0,24.4,29.8,23.3,2.1,33.0,N,N,21.0,N,N,0.004,N,N,0.024,N,N,Y,0.4,N,N,3079928.0,0.0207,Y,0.0133,N,N,0.0028,N,0.0147,N,0.0021,N,0.4154,N,0.0005,N,0.0022,N
201608,서울특별시,297537,34595,39103,28.0,64.0,24.0,32.6,24.5,2.1,34.0,N,N,22.0,Y,N,0.004,N,N,0.023,N,N,Y,0.4,N,N,3078045.0,0.034,Y,0.0224,N,Y,0.0039,Y,0.0275,N,0.0044,Y,0.5466,N,0.0006,N,0.0033,N
201609,서울특별시,441210,28162,49637,23.1,65.0,18.0,27.9,19.3,2.0,37.0,N,N,23.0,Y,N,0.004,N,N,0.026,N,N,Y,0.5,N,Y,3080627.0,0.0347,Y,0.0325,N,Y,0.0061,Y,0.0299,N,0.0057,Y,0.8326,Y,0.0013,Y,0.0043,Y
201610,서울특별시,433468,26873,53082,16.1,62.0,11.7,21.3,11.6,2.1,38.0,N,N,20.0,N,N,0.004,N,N,0.029,N,N,Y,0.5,N,Y,3083269.0,0.0494,Y,0.0319,N,Y,0.0028,N,0.0374,Y,0.0085,Y,1.2272,Y,0.0016,Y,0.0051,Y
201611,서울특별시,443939,26689,59096,6.8,57.0,6.2,11.6,2.8,2.2,52.0,Y,N,28.0,Y,N,0.005,N,Y,0.035,N,Y,Y,0.6,N,Y,3084245.0,0.0267,Y,0.0197,N,N,0.0019,N,0.0234,N,0.0038,N,0.7242,Y,0.0008,N,0.0025,N
201612,서울특별시,575147,25528,71706,1.2,59.0,4.2,5.8,-2.7,2.2,48.0,Y,N,30.0,Y,N,0.005,N,Y,0.036,N,Y,Y,0.7,N,Y,3083007.0,0.0273,Y,0.0279,N,Y,0.0021,N,0.0248,N,0.0062,Y,0.6161,Y,0.0012,Y,0.0034,N
201701,서울특별시,328801,26138,44796,-1.8,55.0,3.2,2.9,-5.8,2.3,53.0,Y,N,32.0,Y,N,0.005,N,Y,0.035,N,Y,Y,0.7,N,Y,3091903.0,0.0183,Y,0.0211,N,N,0.0018,N,0.0223,N,0.0075,Y,0.5207,N,0.0009,Y,0.003,N
201702,서울특별시,338953,26782,42687,-0.2,54.0,3.3,4.8,-4.7,2.4,46.0,Y,N,28.0,Y,N,0.005,N,Y,0.035,N,Y,Y,0.6,N,Y,3093930.0,0.0152,N,0.0203,N,N,0.0013,N,0.0235,N,0.0061,Y,0.4527,N,0.0008,N,0.003,N
201703,서울특별시,479454,29652,54148,6.3,48.0,4.5,12.3,1.7,2.4,60.0,Y,N,39.0,Y,Y,0.005,N,Y,0.038,N,Y,Y,0.6,N,Y,3095613.0,0.0199,Y,0.0193,N,N,0.0025,N,0.0232,N,0.0038,N,0.7598,Y,0.0006,N,0.0024,N
201704,서울특별시,459368,28727,54333,13.9,52.0,8.0,20.0,9.1,2.6,56.0,Y,N,26.0,Y,N,0.005,N,Y,0.031,N,Y,Y,0.5,N,Y,3099256.0,0.0301,Y,0.0215,N,N,0.0045,Y,0.0408,Y,0.0061,Y,1.0742,Y,0.0008,N,0.0035,N
201705,서울특별시,342995,33948,46305,19.5,52.0,11.4,25.4,14.4,2.4,63.0,Y,N,24.0,Y,N,0.005,N,Y,0.028,N,N,Y,0.4,N,N,3103357.0,0.0378,Y,0.0367,N,Y,0.0088,Y,0.064,Y,0.0077,Y,1.7115,Y,0.0012,Y,0.0054,Y
201706,서울특별시,259785,31217,35461,23.3,57.0,15.7,28.8,18.7,2.4,41.0,N,N,22.0,Y,N,0.004,N,N,0.024,N,N,Y,0.4,N,N,3107935.0,0.0303,Y,0.0224,N,Y,0.0073,Y,0.0271,N,0.0052,Y,0.5425,N,0.0007,N,0.0037,Y
201707,서울특별시,239735,33124,31548,26.9,77.0,26.9,30.4,24.3,2.0,33.0,N,N,22.0,Y,N,0.004,N,N,0.023,N,N,Y,0.4,N,N,3112120.0,0.0369,Y,0.0208,N,N,0.0032,N,0.0217,N,0.0026,N,0.4373,N,0.0009,Y,0.0031,N
201708,서울특별시,327668,33432,32734,25.9,71.0,23.7,29.7,22.9,2.3,21.0,N,N,13.0,N,N,0.004,N,N,0.021,N,N,Y,0.4,N,N,3113550.0,0.022,Y,0.0112,N,N,0.0026,N,0.0122,N,0.0016,N,0.3508,N,0.0004,N,0.0022,N
201709,서울특별시,504044,31271,45685,22.1,61.0,16.0,27.4,17.5,2.0,32.0,N,N,19.0,N,N,0.004,N,N,0.027,N,N,Y,0.5,N,Y,3115764.0,0.0261,Y,0.0184,N,N,0.0019,N,0.0186,N,0.0053,Y,0.5744,N,0.0005,N,0.0021,N
201710,서울특별시,367754,25682,41424,16.4,56.0,10.7,22.5,11.6,1.9,29.0,N,N,15.0,N,N,0.004,N,N,0.027,N,N,Y,0.5,N,Y,3116066.0,0.0338,Y,0.0188,N,N,0.0015,N,0.0216,N,0.0088,Y,0.7351,Y,0.0006,N,0.003,N
201711,서울특별시,482159,27342,51870,5.6,53.0,5.4,10.5,1.3,2.1,42.0,Y,N,22.0,Y,N,0.005,N,Y,0.033,N,Y,Y,0.6,N,Y,3117713.0,0.0308,Y,0.025,N,Y,0.0037,N,0.034,Y,0.0029,N,1.2093,Y,0.0008,N,0.0041,Y
201712,서울특별시,552123,25356,56881,-1.9,56.0,3.3,2.2,-5.7,1.8,50.0,Y,N,32.0,Y,N,0.005,N,Y,0.034,N,Y,Y,0.7,N,Y,3116256.0,0.0291,Y,0.0356,N,Y,0.0022,N,0.0241,N,0.0049,Y,0.7757,Y,0.0009,Y,0.0023,N
201801,서울특별시,507445,26972,54271,-4.0,48.0,2.5,0.1,-7.3,1.9,52.0,Y,N,32.0,Y,N,0.006,N,Y,0.035,N,Y,Y,0.6,N,Y,3118469.0,0.0208,Y,0.0205,N,N,0.002,N,0.0202,N,0.0036,N,0.5266,N,0.0006,N,0.0018,N
201802,서울특별시,313978,25539,36593,-1.6,45.0,2.6,3.3,-5.9,2.2,53.0,Y,N,30.0,Y,N,0.005,N,Y,0.034,N,Y,Y,0.6,N,Y,3118125.0,0.027,Y,0.0341,N,Y,0.0028,N,0.0233,N,0.0045,Y,0.8346,Y,0.0012,Y,0.0024,N
201803,서울특별시,410836,28740,46457,8.1,59.0,6.6,13.6,3.8,1.9,52.0,Y,N,34.0,Y,N,0.005,N,Y,0.033,N,Y,Y,0.6,N,Y,3116691.0,0.0196,Y,0.0214,N,N,0.0018,N,0.0108,N,0.0054,Y,0.4809,N,0.0009,Y,0.0011,N
201804,서울특별시,452606,29984,52823,13.0,55.0,8.0,18.5,8.1,2.0,52.0,Y,N,26.0,Y,N,0.004,N,N,0.031,N,Y,Y,0.5,N,Y,3119463.0,0.0256,Y,0.0202,N,N,0.0034,N,0.0264,N,0.0039,N,1.2041,Y,0.0009,Y,0.0029,N
201805,서울특별시,345252,31380,46409,18.2,63.0,13.1,23.3,13.4,1.7,42.0,Y,N,23.0,Y,N,0.004,N,N,0.025,N,N,Y,0.4,N,N,3119696.0,0.0349,Y,0.0146,N,N,0.0024,N,0.0169,N,0.0021,N,0.566,N,0.0004,N,0.002,N
201806,서울특별시,253223,31736,34434,23.1,63.0,17.3,28.4,18.9,1.7,37.0,N,N,24.0,Y,N,0.004,N,N,0.024,N,N,Y,0.4,N,N,3120469.0,0.016,Y,0.0081,N,N,0.0018,N,0.0077,N,0.0011,N,0.3452,N,0.0003,N,0.0012,N
201807,서울특별시,230246,34809,28609,27.8,68.0,24.6,32.1,24.2,1.5,24.0,N,N,16.0,N,N,0.004,N,N,0.019,N,N,Y,0.4,N,N,3121497.0,0.0186,Y,0.0063,N,N,0.0021,N,0.007,N,0.0007,N,0.353,N,0.0004,N,0.0021,N
201808,서울특별시,244545,31713,29131,28.8,65.0,24.9,33.3,25.2,1.7,22.0,N,N,10.0,N,N,0.004,N,N,0.017,N,N,N,0.4,N,N,3121532.0,0.0127,N,0.0074,N,N,0.0033,N,0.0067,N,0.0018,N,0.3259,N,0.0002,N,0.0016,N
201809,서울특별시,486109,27261,44280,21.5,61.0,15.4,26.0,17.6,1.6,20.0,N,N,14.0,N,N,0.003,N,N,0.019,N,N,Y,0.4,N,N,3123924.0,0.0143,N,0.0032,N,N,0.0011,N,0.0063,N,0.001,N,0.3643,N,0.0002,N,0.0015,N
201810,서울특별시,475126,29376,50354,13.1,59.0,8.9,18.6,8.5,1.5,28.0,N,N,15.0,N,N,0.004,N,N,0.028,N,N,Y,0.5,N,Y,3123896.0,0.0208,Y,0.0157,N,N,0.0017,N,0.013,N,0.0032,N,0.5773,N,0.0005,N,0.0026,N
201811,서울특별시,462621,26152,54979,7.8,58.0,6.3,13.2,3.6,1.4,52.0,Y,N,28.0,Y,N,0.005,N,Y,0.039,N,Y,Y,0.7,N,Y,3123702.0,0.0433,Y,0.0388,N,Y,0.0025,N,0.02,N,0.0111,Y,1.0233,Y,0.001,Y,0.0041,Y
201812,서울특별시,501006,27277,57276,-0.6,46.0,3.1,4.1,-4.7,1.8,43.0,Y,N,24.0,Y,N,0.005,N,Y,0.035,N,Y,Y,0.6,N,Y,3124651.0,0.0258,Y,0.0399,N,Y,0.0016,N,0.0183,N,0.0113,Y,0.8015,Y,0.0011,Y,0.0024,N
201901,서울특별시,352188,28914,41897,-0.9,46.0,2.7,4.1,-5.1,1.8,66.0,Y,N,38.0,Y,Y,0.005,N,Y,0.039,N,Y,Y,0.8,N,Y,3128420.0,0.0348,Y,0.0442,N,Y,0.0033,N,0.0389,Y,0.0098,Y,1.1354,Y,0.0015,Y,0.0048,Y
201902,서울특별시,304996,25987,33808,1.0,47.0,3.2,6.0,-3.2,1.8,57.0,Y,N,35.0,Y,N,0.005,N,Y,0.036,N,Y,Y,0.7,N,Y,3128962.0,0.0319,Y,0.0477,N,Y,0.0023,N,0.0241,N,0.008,Y,0.7304,Y,0.0013,Y,0.0038,Y
201903,서울특별시,437783,27948,45488,7.1,51.0,5.1,12.4,2.7,2.1,69.0,Y,N,45.0,Y,Y,0.005,N,Y,0.034,N,Y,Y,0.6,N,Y,3127236.0,0.0172,Y,0.0231,N,Y,0.0033,N,0.0261,N,0.0062,Y,0.6985,Y,0.0007,N,0.0026,N
201904,서울특별시,505541,30870,52335,12.1,51.0,7.2,17.6,7.2,1.9,41.0,N,N,21.0,N,N,0.004,N,N,0.029,N,N,Y,0.5,N,Y,3124289.0,0.0258,Y,0.0175,N,N,0.003,N,0.0187,N,0.0039,N,0.6582,Y,0.0007,N,0.0029,N
201905,서울특별시,394513,35043,49487,19.4,47.0,10.2,25.6,13.7,2.1,52.0,Y,N,29.0,Y,N,0.005,N,Y,0.028,N,N,Y,0.5,N,Y,3121807.0,0.0407,Y,0.0329,N,Y,0.0065,Y,0.038,Y,0.0045,Y,1.205,Y,0.001,Y,0.0054,Y
