"구분","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월",
"옥천동","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0037",".0098",".0086",".0084",".0122",".0091",".0082",".0003",".0069",".0012",".0025",".0045",".0233",".0211","N.D.",".0086",".0034",".0014",".0206",".0166",".0013",".0038",".0053",".0088",".02518",
"우산동","As","","","","","","","","",".0043",".0012",".0007",".0027",".0035",".0038",".0023",".0026",".0052",".0014",".0055",".0042",".0023",".0028",".0039",".0021",".0062",".0052",".0067",".0049",".0039",".0021",".0012",".0035",".0013",".0075",".0033",".0021",".0045",".0038","","","","","","",".0033",".0036",".0014",".0036",".0088",".0047",".0042",".0041",".0037",".0042",".004",".0017",".0019",".0016",".0026",".0024",".0027",".0022",".0025",".0017",".0023",".0013",".0017",".0008",".001",".0016",".0024",".0053",".006",".0054",".0045",".0059",".0028",".0025",".0014",".0008",".0004",".005",".0039",".0036",".003",".0036",".0032",".0025",".005",".0013",".0047",".0046","N.D.",".0011",".005",".0081",".0036",".0038",".0037",".0045",".0038",".0021",".0019",".0003",".0024",".0006",".0023",".0017",".0018",".0058",".003",".0021",".0009","N.D.","N.D.",".0022",".0018",".0015",".0008",".0111",".0032",".00212",".0055",
"문막공단","As","","","","","","","","",".0039",".002",".0018",".0025",".004",".0027",".0023",".0022",".0063",".0008",".0049",".0037",".0029",".0009",".0029",".0018",".0057",".004",".0052",".0034",".0038",".002",".0017",".0012",".0016",".0077",".0027",".002",".0029",".0031",".004",".0049",".0044",".0062",".003",".0002",".0022",".0036",".0009",".0038",".0085",".0057",".0044",".0045",".0017",".0057",".0045",".0045",".0005",".0022","","","",".0025",".002",".003",".0023",".0013",".0016",".0008",".0012",".0029",".002",".0052",".002",".0048",".0045",".0053",".0029",".0024",".0013",".0011",".0006",".0009",".0024",".0057",".005",".0037",".0033",".0025",".0051",".0015",".0048",".0047",".0001",".002",".0047",".0065",".0031",".0038",".0021",".0044",".004",".0018",".0016",".0005",".0021",".0161",".0031",".0013",".0023",".0049",".002",".0018",".0014",".0011",".0004",".0025",".0019",".0011",".0023",".0039",".0033",".00354",".00766",
"금호동","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0356",".0111",".0044",".0168",".0042",".028",".0129",".012",".0199",".0218",".0065",".0001",".0104",".0013",".0057",".0369",".0272",".0233",".0007",".0068",".0057",".0014",".0347",".0158",".0064",".0043",".0061",".01842",".03138",
"송정동","As","",".0082",".0043",".0088",".0017",".003",".0023",".001",".0043",".0017",".0015",".0028",".0025",".0047",".0029",".0035",".0026",".0023",".002",".0022",".0018",".0028",".0026",".0035",".0042",".004",".0038",".0026",".0036",".0018",".0024",".0007",".001",".0014",".0022",".0018",".0046",".0041",".0022",".0052",".0021",".0024",".0036",".002",".0034",".0033",".0029",".0024",".0031",".0037",".0037",".0027",".0037",".0033",".0021",".0016",".0012",".0031",".0017",".0021",".0021",".0019",".0027",".003",".0024",".0016",".0016",".0004",".0011",".0013",".0029",".0073",".0021",".006",".0057",".0071",".0017",".0018",".0013",".0006",".0012",".001",".0034",".0069",".0032",".0045",".0026",".0036",".0016",".0016",".0026",".0008",".0001",".002",".0035",".0047",".0035",".0018",".0013",".0028",".0019",".0012",".0013",".0003",".0012",".0012",".0016",".0004",".0015",".0022",".0023",".0024",".0023",".0016",".0011",".001",".0014",".0014",".003",".0019",".0033",".0046","-",
"매포읍","As","",".0128",".0057",".0114",".0024",".0052",".0024",".0021",".0057",".0015",".0018",".0032",".0042",".0058",".0043",".005",".0036",".0023",".0013",".0017",".0015",".0024",".0021",".0029",".0057",".0082",".0073",".0042",".0033",".0019",".002",".0021",".0015",".0011",".0031",".0014",".0055",".0066",".0049",".0066",".0037",".003",".0031",".0022",".0036",".0052",".0052",".0037",".0013",".005",".0039",".0032",".0043",".0045",".0015",".0018",".0011",".0028",".0016",".0025",".0028",".0031",".0049",".0026",".0026",".0018",".0011",".0006",".0011",".0012",".0019",".0044",".004",".0056",".0035",".0044",".0011",".0014",".0008",".0004",".0008",".0006",".0027",".0049","","","",".0023",".0019",".0019",".003",".003","",".0017",".004",".0061",".0026",".0023",".0025",".0033",".003",".003",".0021",".0006",".0047",".0019",".0013",".0012",".0039",".0035",".0028",".0033",".0006",".0013",".0008",".0014",".0008",".0015",".0021",".0022",".004",".00286",".00808",
"성황동","As","",".0005","N.D.",".0032",".0029",".005",".0002",".0008",".0066","",".0005",".0017",".0028",".0036",".002",".0029",".0039",".0015","","","","","N.D.",".0041",".0064",".005",".0053",".0035","","","","","","","","",".0022",".0038",".0013",".0064",".0025",".0039",".0055",".001",".001",".0011",".0028",".0028",".005",".0032",".0025",".0013","","",".0028",".0013",".0012",".0006",".0067",".0011",".0038",".0032",".0025",".0002",".0039",".0026",".0004","N.D.",".0005",".0021",".0043",".0056",".0056",".002","N.D.",".0004",".0005","N.D.",".0036",".0006",".0023",".001",".0063",".0072",".002",".0079",".0042","","","",".0045",".0043",".0008",".0049",".008",".0118",".0125",".0039",".0032",".0068",".0059",".004",".001","N.D.",".0033",".0004",".0046",".004",".0086",".0045",".0049",".0049",".0067",".0035","N.D.",".0049",".0014",".0012",".0112",".0119",".0117",".00826",".02898",
"송산면","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0008","N.D.",".0005",".0009","N.D.",".0046",".0022",".0038",".0054",".0113",".0175",".0029",".0088",".004",".0133",".0057",".0016",".0073",".0076","N.D.",".0052","",".0111",".0129",".0043",".0037",".0103",".0074",".006",".0005","N.D.",".0047",".0007",".004",".0026",".008",".0045",".0051",".0043",".0027",".005",".002",".0062",".005",".0032",".0061",".0029",".0145",".01384",".0232",
"독곶리","As","",".0006",".0001",".0027",".0017",".0041",".0001",".0012",".0039",".002",".0026",".0005",".006",".0025",".0056",".0033",".0031",".0004",".0066",".0027",".0008",".0021",".0021",".0041",".0069",".0018",".0018",".0023",".001",".0016",".0021",".0047",".003",".0012",".0008",".004",".0165",".0023",".0023",".0048",".003",".0066",".0037",".0016",".0025",".0011",".0039",".0028",".0061",".0026",".0044",".0023",".0015",".0027",".0011",".0016",".0011",".0023",".0042",".0007",".002",".0036",".0017",".0009",".0039",".0033",".0005","N.D.",".0004",".0017",".0021",".0101",".0072",".0013",".0001",".0006",".0009","N.D.",".0054",".0009",".003",".0183",".0128",".0079",".0035",".0062",".0028",".0126",".0028",".0012",".0057",".0111",".0001",".0049",".0433",".0133",".015",".002",".0034",".0152",".0062",".0101",".0001","N.D.",".0048",".0018","0.0026**",".0029",".0124",".005",".0066",".0071",".0066",".0006",".0003",".0066",".0043",".0039",".0097",".0033",".0214",".0157",".03324",
"배방읍","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0012",".0043",".0011",".0071",".0041",".0033",".0021",".0027",".0023",".0011",".0032",".0042",".0024",".0075",".0046",".0194",".01006",".02488",
