STD_YYYYMM,SIDO,비염환자수,아토피환자수,천식환자수,AVG_PM2.5,PM2_BAD,AVG_PM10,PM10_BAD,PM10_80BAD,AVG_일산화,일산화_9BAD,일산화_BAD,AVG_이산화,이산화_0.06BAD,이산화_0.03BAD,이산화_BAD,AVG_오존,오존_BAD,오존0.06_BAD,오존0.1_BAD,AVG_납,납_0.5BAD,납_BAD,AVG_아황산,아황산_0.05BAD,아황산_BAD
201801,서울특별시,507445,26972,54271,32.0,N,52.0,Y,N,0.6,N,Y,0.035,N,Y,Y,0.014,N,N,N,0.0205,N,N,0.006,N,Y
201802,서울특별시,313978,25539,36593,30.0,N,53.0,Y,N,0.6,N,Y,0.034,N,Y,Y,0.018,N,N,N,0.0341,N,Y,0.005,N,Y
201803,서울특별시,410836,28740,46457,34.0,N,52.0,Y,N,0.6,N,Y,0.033,N,Y,Y,0.026,N,N,N,0.0214,N,N,0.005,N,Y
201804,서울특별시,452606,29984,52823,26.0,N,52.0,Y,N,0.5,N,Y,0.031,N,Y,Y,0.031,Y,N,N,0.0202,N,N,0.004,N,N
201805,서울특별시,345252,31380,46409,23.0,N,42.0,Y,N,0.4,N,N,0.025,N,N,Y,0.034,Y,N,N,0.0146,N,N,0.004,N,N
201806,서울특별시,253223,31736,34434,24.0,N,37.0,N,N,0.4,N,N,0.024,N,N,Y,0.035,Y,N,N,0.0081,N,N,0.004,N,N
201807,서울특별시,230246,34809,28609,16.0,N,24.0,N,N,0.4,N,N,0.019,N,N,Y,0.024,N,N,N,0.0063,N,N,0.004,N,N
201808,서울특별시,244545,31713,29131,10.0,N,22.0,N,N,0.4,N,N,0.017,N,N,N,0.03,Y,N,N,0.0074,N,N,0.004,N,N
201809,서울특별시,486109,27261,44280,14.0,N,20.0,N,N,0.4,N,N,0.019,N,N,Y,0.027,N,N,N,0.0032,N,N,0.003,N,N
201810,서울특별시,475126,29376,50354,15.0,N,28.0,N,N,0.5,N,Y,0.028,N,N,Y,0.018,N,N,N,0.0157,N,N,0.004,N,N
201811,서울특별시,462621,26152,54979,28.0,N,52.0,Y,N,0.7,N,Y,0.039,N,Y,Y,0.011,N,N,N,0.0388,N,Y,0.005,N,Y
201812,서울특별시,501006,27277,57276,24.0,N,43.0,Y,N,0.6,N,Y,0.035,N,Y,Y,0.012,N,N,N,0.0399,N,Y,0.005,N,Y
201901,서울특별시,352188,28914,41897,38.0,Y,66.0,Y,N,0.8,N,Y,0.039,N,Y,Y,0.012,N,N,N,0.0442,N,Y,0.005,N,Y
201902,서울특별시,304996,25987,33808,35.0,N,57.0,Y,N,0.7,N,Y,0.036,N,Y,Y,0.018,N,N,N,0.0477,N,Y,0.005,N,Y
201903,서울특별시,437783,27948,45488,45.0,Y,69.0,Y,N,0.6,N,Y,0.034,N,Y,Y,0.028,N,N,N,0.0231,N,Y,0.005,N,Y
201904,서울특별시,505541,30870,52335,21.0,N,41.0,N,N,0.5,N,Y,0.029,N,N,Y,0.029,Y,N,N,0.0175,N,N,0.004,N,N
201905,서울특별시,394513,35043,49487,29.0,N,52.0,Y,N,0.5,N,Y,0.028,N,N,Y,0.043,Y,N,N,0.0329,N,Y,0.005,N,Y
201906,서울특별시,248321,28929,33681,20.0,N,29.0,N,N,0.4,N,N,0.02,N,N,Y,0.039,Y,N,N,0.0282,N,Y,0.004,N,N
201907,서울특별시,254895,33541,32285,19.0,N,26.0,N,N,0.4,N,N,0.018,N,N,N,0.031,Y,N,N,0.005,N,N,0.004,N,N
201908,서울특별시,277290,34302,31461,16.0,N,25.0,N,N,0.4,N,N,0.018,N,N,N,0.03,Y,N,N,0.0111,N,N,0.004,N,N
201909,서울특별시,465550,30566,42371,12.0,N,21.0,N,N,0.4,N,N,0.021,N,N,Y,0.024,N,N,N,0.0042,N,N,0.003,N,N
201910,서울특별시,470234,30238,47845,15.0,N,31.0,N,N,0.5,N,Y,0.025,N,N,Y,0.021,N,N,N,0.0283,N,Y,0.003,N,N
201911,서울특별시,443898,27985,47219,20.0,N,40.0,N,N,0.6,N,Y,0.034,N,Y,Y,0.013,N,N,N,0.0218,N,N,0.004,N,N
201912,서울특별시,482644,27585,49708,28.0,N,42.0,Y,N,0.7,N,Y,0.035,N,Y,Y,0.011,N,N,N,0.0422,N,Y,0.004,N,N
202001,서울특별시,443273,27993,43851,29.0,N,42.0,Y,N,0.7,N,Y,0.034,N,Y,Y,0.014,N,N,N,0.0301,N,Y,0.004,N,N
