STD_YYYYMM,SIDO,GEN,AGG,CNT,CNT_SUM
202008,서울특별시,1,0,102,152151
202009,서울특별시,1,0,64,258963
202010,서울특별시,1,0,161,236310
202011,서울특별시,1,0,250,243282
202012,서울특별시,1,0,60,155861
202101,서울특별시,1,0,50,123377
202102,서울특별시,1,0,110,134079
202103,서울특별시,1,0,367,257576
202104,서울특별시,1,0,197,297440
202105,서울특별시,1,0,131,178641
202106,서울특별시,1,0,101,155755
202107,서울특별시,1,0,80,138390
202108,서울특별시,1,0,47,147809
202109,서울특별시,1,0,196,273508
202110,서울특별시,1,0,190,269429
202111,서울특별시,1,0,177,329382
202112,서울특별시,1,0,102,229472
202201,서울특별시,1,0,141,220172
202202,서울특별시,1,0,101,292038
202203,서울특별시,1,0,125,447418
202204,서울특별시,1,0,231,338365
202205,서울특별시,1,0,182,227446
202206,서울특별시,1,0,127,190531
202207,서울특별시,1,0,104,255667
202208,서울특별시,1,0,76,271959
202209,서울특별시,1,0,152,339438
202210,서울특별시,1,0,171,356819
202211,서울특별시,1,0,98,338294
202212,서울특별시,1,0,91,365991
200601,부산광역시,1,0,28,80592
200602,부산광역시,1,0,37,76496
200603,부산광역시,1,0,52,96908
200604,부산광역시,1,0,46,89828
200605,부산광역시,1,0,35,71839
200606,부산광역시,1,0,31,53876
200607,부산광역시,1,0,18,46107
200608,부산광역시,1,0,30,45323
200609,부산광역시,1,0,40,110086
200610,부산광역시,1,0,34,76567
200611,부산광역시,1,0,36,102208
200612,부산광역시,1,0,38,98930
200701,부산광역시,1,0,44,102328
200702,부산광역시,1,0,42,78419
200703,부산광역시,1,0,50,105291
200704,부산광역시,1,0,50,94848
200705,부산광역시,1,0,36,75722
200706,부산광역시,1,0,30,54475
200707,부산광역시,1,0,30,54845
200708,부산광역시,1,0,29,50998
200709,부산광역시,1,0,37,105845
200710,부산광역시,1,0,55,120419
200711,부산광역시,1,0,40,123341
200712,부산광역시,1,0,45,133260
200801,부산광역시,1,0,36,113980
200802,부산광역시,1,0,35,126457
200803,부산광역시,1,0,50,121550
200804,부산광역시,1,0,53,106455
200805,부산광역시,1,0,33,86526
200806,부산광역시,1,0,43,68260
200807,부산광역시,1,0,27,50369
200808,부산광역시,1,0,22,63874
200809,부산광역시,1,0,51,103568
200810,부산광역시,1,0,47,113517
200811,부산광역시,1,0,47,111370
200812,부산광역시,1,0,41,155195
200901,부산광역시,1,0,44,121279
200902,부산광역시,1,0,42,74133
200903,부산광역시,1,0,63,125261
200904,부산광역시,1,0,39,143391
200905,부산광역시,1,0,45,100032
200907,부산광역시,1,0,37,62944
200908,부산광역시,1,0,52,92912
200909,부산광역시,1,0,66,152439
200910,부산광역시,1,0,66,173970
200911,부산광역시,1,0,59,160389
200912,부산광역시,1,0,39,142156
201001,부산광역시,1,0,47,135175
201002,부산광역시,1,0,55,112956
201003,부산광역시,1,0,62,146944
201004,부산광역시,1,0,62,156148
201005,부산광역시,1,0,48,119052
201007,부산광역시,1,0,46,67318
201008,부산광역시,1,0,41,68363
201009,부산광역시,1,0,81,165210
201010,부산광역시,1,0,76,158883
201011,부산광역시,1,0,60,144064
201012,부산광역시,1,0,65,166648
201101,부산광역시,1,0,47,130474
201102,부산광역시,1,0,42,109676
201103,부산광역시,1,0,81,157401
201104,부산광역시,1,0,71,139768
201105,부산광역시,1,0,49,105960
201106,부산광역시,1,0,49,82703
201107,부산광역시,1,0,55,71959
201108,부산광역시,1,0,43,87490
201109,부산광역시,1,0,79,158136
201110,부산광역시,1,0,51,147452
201111,부산광역시,1,0,58,148108
201112,부산광역시,1,0,53,196723
201201,부산광역시,1,0,49,165366
201202,부산광역시,1,0,77,146700
201203,부산광역시,1,0,69,165392
201204,부산광역시,1,0,60,155690
201205,부산광역시,1,0,55,128490
201206,부산광역시,1,0,35,81328
201207,부산광역시,1,0,43,72581
201208,부산광역시,1,0,69,79679
201209,부산광역시,1,0,60,160297
201210,부산광역시,1,0,84,174484
201211,부산광역시,1,0,49,145532
201212,부산광역시,1,0,61,132657
201301,부산광역시,1,0,64,142181
201302,부산광역시,1,0,60,163339
201303,부산광역시,1,0,73,164343
201304,부산광역시,1,0,85,147534
201305,부산광역시,1,0,58,107177
201306,부산광역시,1,0,46,72190
201307,부산광역시,1,0,53,70514
201308,부산광역시,1,0,40,86301
201309,부산광역시,1,0,70,160205
201310,부산광역시,1,0,67,163383
201311,부산광역시,1,0,60,159627
201312,부산광역시,1,0,50,151762
201401,부산광역시,1,0,55,171887
201402,부산광역시,1,0,45,166959
201403,부산광역시,1,0,89,164056
201404,부산광역시,1,0,64,155891
201405,부산광역시,1,0,53,114996
201406,부산광역시,1,0,43,83819
201407,부산광역시,1,0,42,89902
201408,부산광역시,1,0,39,94349
201409,부산광역시,1,0,72,159943
201410,부산광역시,1,0,56,164797
201411,부산광역시,1,0,68,182868
201412,부산광역시,1,0,50,173651
201501,부산광역시,1,0,43,146991
201502,부산광역시,1,0,62,163803
201503,부산광역시,1,0,51,180525
201504,부산광역시,1,0,60,156244
201505,부산광역시,1,0,56,124549
201506,부산광역시,1,0,40,86503
201507,부산광역시,1,0,44,77125
201508,부산광역시,1,0,55,89841
201509,부산광역시,1,0,64,172899
201510,부산광역시,1,0,62,168912
201511,부산광역시,1,0,56,148416
201512,부산광역시,1,0,46,191416
201601,부산광역시,1,0,39,172146
201602,부산광역시,1,0,47,173608
201603,부산광역시,1,0,66,168569
201604,부산광역시,1,0,54,149648
201605,부산광역시,1,0,50,115354
201606,부산광역시,1,0,43,89022
201607,부산광역시,1,0,31,87799
201608,부산광역시,1,0,41,103488
201609,부산광역시,1,0,64,157512
201610,부산광역시,1,0,58,166801
201611,부산광역시,1,0,39,166158
201612,부산광역시,1,0,40,193116
201701,부산광역시,1,0,43,141548
201702,부산광역시,1,0,49,129342
201703,부산광역시,1,0,78,186955
201704,부산광역시,1,0,62,170404
201705,부산광역시,1,0,40,129107
201706,부산광역시,1,0,76,97652
201707,부산광역시,1,0,39,87050
201708,부산광역시,1,0,46,99176
201709,부산광역시,1,0,45,163184
201710,부산광역시,1,0,52,152329
201711,부산광역시,1,0,56,195268
201712,부산광역시,1,0,40,232007
201801,부산광역시,1,0,31,198788
201802,부산광역시,1,0,45,129200
201804,부산광역시,1,0,39,169549
201805,부산광역시,1,0,48,127391
201806,부산광역시,1,0,38,99888
201807,부산광역시,1,0,27,86217
201808,부산광역시,1,0,46,88749
201809,부산광역시,1,0,56,165641
201810,부산광역시,1,0,48,185160
201811,부산광역시,1,0,44,171246
201812,부산광역시,1,0,28,200429
201901,부산광역시,1,0,34,143538
201902,부산광역시,1,0,48,123824
201903,부산광역시,1,0,46,168318
201904,부산광역시,1,0,50,174414
201905,부산광역시,1,0,36,134896
201906,부산광역시,1,0,40,91641
201907,부산광역시,1,0,33,94916
201908,부산광역시,1,0,26,94287
201909,부산광역시,1,0,51,154613
201910,부산광역시,1,0,39,180171
201911,부산광역시,1,0,22,179480
201912,부산광역시,1,0,25,195409
202001,부산광역시,1,0,32,176458
202002,부산광역시,1,0,20,99019
202003,부산광역시,1,0,8,62391
202004,부산광역시,1,0,18,57016
202005,부산광역시,1,0,63,70900
202006,부산광역시,1,0,69,81564
202007,부산광역시,1,0,13,63788
202008,부산광역시,1,0,20,57103
202009,부산광역시,1,0,17,87032
202010,부산광역시,1,0,51,100364
202011,부산광역시,1,0,44,102419
202012,부산광역시,1,0,8,65014
202101,부산광역시,1,0,9,47680
202102,부산광역시,1,0,33,58901
202103,부산광역시,1,0,64,107688
202104,부산광역시,1,0,23,93487
202105,부산광역시,1,0,16,64650
202106,부산광역시,1,0,33,58880
202107,부산광역시,1,0,21,53207
202108,부산광역시,1,0,11,52403
202109,부산광역시,1,0,58,98114
202110,부산광역시,1,0,33,120452
202111,부산광역시,1,0,28,119948
202112,부산광역시,1,0,25,93433
202201,부산광역시,1,0,20,97603
202202,부산광역시,1,0,15,127475
202203,부산광역시,1,0,26,169640
202204,부산광역시,1,0,25,100979
202205,부산광역시,1,0,44,76241
202206,부산광역시,1,0,21,66662
202207,부산광역시,1,0,16,84759
202208,부산광역시,1,0,16,100201
202209,부산광역시,1,0,24,104144
202210,부산광역시,1,0,30,128208
202211,부산광역시,1,0,14,141279
202212,부산광역시,1,0,7,154856
200601,대구광역시,1,0,55,64441
