"구분","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월",
"지산동","Fe","",".5128",".4559","1.3101",".6147",".6544",".7058",".1575",".2659",".3151",".2702",".4263",".279",".4274",".1272",".4227",".7512",".4514",".3671",".3679",".2911",".3988",".3238",".6477",".4667",".5585",".4839",".5086",".318",".7792",".632",".4067",".3092",".2603",".5448",".2474",".5323",".3987",".3788",".7083",".6786",".5118",".4133",".2802",".3055",".3424",".2277",".4236",".59",".3431",".3483",".3353",".3881",".4753",".284",".2342",".2077",".3746",".3141",".7669",".4865",".639",".6001","",".5282",".4594",".5775",".2857",".3171",".3033",".4033",".5063",".4937",".6885",".5602",".6422",".5696",".7309",".4912",".202",".218",".2786",".3569",".616",".7088",".3523",".3342",".389",".5298",".2598",".5404",".3139",".1849",".319",".2762",".3624",".5204",".8958",".3369",".3678",".3354",".6359",".4226",".1695",".1795",".234",".2975",".3473",".634",".2777",".2728",".3358",".4186",".3667",".2237",".2331",".1398",".1925",".2191",".5529",".4528",".58322",".34352",
"달성산단","Fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".547",".7114",".6002",
"신흥","Fe","",".7428",".4777",".7083",".5132",".5959",".7498",".2033",".3374",".5502",".9096",".7901",".3584",".7168",".5006",".484",".4228",".6281",".4363",".3992",".2574",".434",".5151",".3944",".4671",".5136","1.0167","1.2871",".765",".5152",".527",".424",".2836",".2369",".4657",".373",".5544",".6427",".4374","1.0486",".6185",".7086",".4728",".362",".396",".4882",".8846",".5716",".4473",".375",".51",".458",".9899",".9252",".3751",".3043",".3244",".6105",".3485",".6879",".6906",".4324",".4673",".4728",".817",".5439",".3417",".2275",".2015",".3",".3992",".9306",".6071",".5741",".5334",".4072",".4038",".5521",".2168",".4543",".2238",".2306",".7324",".5215",".618",".5813",".7266",".6796",".6905","1.1298",".8202",".4792",".1933",".3278",".7893",".8254",".6394","1.0796",".4853",".8516",".3733",".9475",".5975",".2647",".5703",".1465",".2297",".1305",".6669",".3137",".4336",".4324",".3074",".4941",".2749",".1943",".1571",".3395",".3685",".4825",".2938",".86854",".53668",
"구월동","Fe","",".5912",".3162",".8109",".4912",".5711",".7035",".2037",".3371",".5749",".5823",".7068",".2914",".6448",".3077",".4251",".5844",".6529",".5294",".5107",".2939",".5062",".5592",".4765",".3511",".3142",".4119",".6796",".777",".5729",".561",".6037",".3144",".306",".359",".2895",".4202",".5067",".3348","1.0117",".6137",".6304",".5404",".7651",".4998",".5639",".8358",".4338",".3887",".4144",".5149",".6099","1.0552",".8808",".4494",".3705",".2857",".5629",".3489",".7725",".6266",".4421",".4494",".4623",".7296",".5572",".5653",".1932",".262",".2796",".4343",".7427",".4932",".7302",".5486",".4892",".343",".7503",".3597",".2108",".2194",".1418",".5437",".6535",".7207",".5773",".7093",".7831","1.1458","1.5499","1.058",".451",".2304",".3072",".7855",".912",".5905",".9289",".4714","0.8918*",".6378",".7124",".6153",".2852",".265",".1997",".2032",".1213",".6034",".2002",".2648","0.4416*",".2386",".4192",".2568",".2002",".164",".3178",".2725",".4106",".27",".83166",".4273",
"부평","Fe","",".7565",".3079",".9786",".6105",".7457",".781",".1685",".3162",".653",".6798",".8251",".2894",".563",".2658",".3799",".5603","","","","","",".4273",".3912",".3287",".4367",".3908","1.0151",".6138",".5948",".4429",".4256",".2627",".4483",".3844",".3128",".6437",".4826",".4445","1.107",".8362",".5789",".6218",".4846",".4933",".572",".787",".4556",".3446",".3855",".4903",".5445","1.0983","1.0294",".4739",".4332",".3182",".5486",".3254",".7843",".5714",".4465",".5004",".468",".8581",".7135",".5797",".2281",".2806",".3159",".4299",".6936",".6327",".6593",".4452",".4573",".4059",".6799",".3953",".2607",".2431",".1511",".5864",".6598",".6225",".5194",".6861",".7389","1.1695","1.3118","1.0004",".5767",".2012",".3113",".7373",".9354",".5792",".8666",".4831",".8516",".2355",".816",".7321",".4452",".3045",".218",".1865",".0962",".6305",".407",".4427",".611",".3091",".5165",".3189",".2989",".1808",".289",".2902",".3998",".374",".9239",".29154",
"연희","Fe","",".7206",".2704",".9622",".5815",".6727",".677",".2606",".166",".5534",".7131",".8443",".295",".5985",".2668",".373",".4594",".6407",".4083",".4344",".2521",".485",".4446",".4142",".3356",".4099",".3998",".4929",".4984",".5489",".6086",".4703",".2336",".2382",".4459",".2556",".3537",".5299",".5125","1.1203",".7787",".5832",".4823",".4828",".3935",".3951",".6114",".4307",".4139",".4195",".5102",".4386",".9033",".8918",".5352",".3668",".2446",".384",".2657",".5808",".6565",".3612",".4383",".3893",".6119",".4385",".3798",".2198",".1647",".2532",".3727",".5343",".5562",".6097",".4361",".5297",".4095",".5759",".4167",".1852",".1622",".1195",".3291",".4392",".5448",".4738",".5217",".5388","1.2521","1.1766",".8204",".3161",".2084",".2168",".5841",".526",".529",".8051",".3971",".5272",".7345",".8396",".5654",".2374",".1455",".0882",".1211",".143",".4411",".352",".2736",".5358",".2023",".3864",".1876",".1291",".1187",".1927",".1916",".2985",".2884",".63486",".19994",
"고잔","Fe","",".9708",".3265","1.0535",".5124",".6138",".776",".4487",".5408",".69",".9281",".9912",".4513",".9936",".5327",".5788",".5463",".754",".5159",".4964",".2938",".6879",".8284",".5554",".5752",".6893",".5289",".6434",".7171",".6666",".713",".6065",".3219",".5098",".7201",".4929",".5298",".6946",".7684","1.1032",".768",".6167",".5502",".6136",".5535",".5999","1.0396",".7394",".5789",".5286",".4966",".5828","1.1215","1.0398",".7492",".4774",".447",".9415",".394",".9364",".7094",".5341",".6501",".5612",".9811",".6556",".4324",".4157",".2816",".4173",".6285",".9733",".6669",".8029",".5955",".4496",".4525","1.0079",".4027",".3718",".2257",".2427",".5419",".8976",".9569",".8066",".9501",".8744","1.4959","1.4252",".9418",".4609",".3197",".3821",".8863","1.1994",".7128","1.065",".5746","1.0338",".7156",".8077",".7649",".3049",".3654",".2814",".2027",".2329",".6361",".281",".4171",".5956",".3098",".3972",".2624",".2404",".2387",".3741",".388",".5435",".3799","1.19352",".5954",
"농성동","Fe","","","","1.6152",".607",".2655",".3782",".0317",".2905",".1677",".1017",".1528",".1783",".4287",".2236",".382",".6227",".3454",".3274",".3431",".1478",".3928",".288",".5187",".2985",".4042",".5872",".4713",".5101",".5313",".4757",".2497",".2023",".1996",".5453",".1649",".429",".2212",".2304",".3998",".3349",".0802",".2008",".1069",".1616",".263",".176",".3889",".64",".2672",".3143",".5281",".4661",".9075",".3623",".1255",".2705",".1928",".1814",".6469",".423",".1572",".2442",".2245",".8244",".4095",".4557",".1756",".5781",".3685",".3449",".4105",".2635",".3566",".9412",".665",".4143",".6315",".3849",".1189",".1578",".1339",".2761",".4401",".5583",".1888",".1959",".3249",".2911",".1791",".3978",".1406",".0637",".1545",".2116",".4914",".4908",".8426",".4735",".7931",".5209",".4019",".4163",".259",".2433",".2408",".1885",".1552",".5555",".4337",".2342",".396",".2622",".4807",".236",".178",".0967",".2425",".3674",".598",".5041",".8295",".52422",
"두암동","Fe","","","","","","","","","",".1235",".0712","",".1184",".332",".1806",".4194",".5595",".2732",".3044",".2671",".1054",".2758",".2123",".3553",".2495",".4154",".4922",".4361",".4696",".4793",".4432",".145",".0922",".1927",".4387",".0909",".2438",".1698",".1734",".3378",".2581",".0907",".1823",".0949",".1435",".3051",".1666",".3605",".5774",".2666",".3337",".4375",".3619",".7352",".2482",".1055",".2054","","",".3993",".2752",".0911",".1652",".179",".5586",".259",".3032",".1421",".2726","",".2936",".2936",".3015",".2638",".7304",".5529",".3049",".4758",".2598",".0923",".1667",".1287",".2223",".4144",".3712",".1563",".1604",".3139",".3216",".2017",".3433","",".0872",".1728",".1895",".4191",".3591",".7019",".3496",".4288",".3595",".4419",".3517",".2219",".2646",".2142",".2158",".0993",".406",".2802",".3201",".675",".3592",".3897",".1591",".1334",".0715",".1021",".1582",".4446",".4149",".6409",".40166",
"건국동","Fe","","","","1.1515",".5822",".2805",".3086",".0884",".2916",".1242",".0954",".1492",".1222",".4113",".226",".3909",".5238",".3146",".2847",".3264",".1475",".3101",".3106",".448",".2824",".4051",".478",".4667",".5073",".4709",".4841",".1969",".1438",".2285",".5655",".1764",".3149",".2171",".1641",".3859",".3049",".1176",".199",".1482",".1821",".3076",".1689",".3407",".4282",".2627",".3331",".4646",".3646",".8157",".2739",".1714",".2325",".1888",".1662",".4831",".3175",".1464",".2908",".2037",".6669",".263",".2763",".2224",".7884",".3782",".378",".3392",".2933",".2803",".7388",".511",".2562",".3929",".2545",".1214",".137",".1271",".2497",".3571",".3896",".1496",".1611",".3098",".2983",".1776",".3397",".1053","","",".2702",".4063",".3551",".8371",".3284",".4881",".3572",".4404",".4009",".243","-","-",".3058",".178",".5018",".3897",".4588",".9059",".6705",".5073",".2545",".2024",".104",".1932","-",".435",".3832",".60038",".37372",
