,index,지역명,측정소명,주소,운영기관,설치년도,위도,경도,구
42,45,경기,단대동,경기 성남시 수정구 희망로 506번길 21 단대동행정복지센터,경기도보건환경연구원,1993.0,37.4496808511685,127.1556537813,성남시수정구
43,46,경기,당동,경기 군포시 산본로197번길 36 당동도서관,경기도보건환경연구원,1997.0,37.353715480848,126.945167965447,군포시
44,49,경기,대야동,경기 시흥시 복지로 37 다다커뮤니티센터,경기도보건환경연구원,2002.0,37.4430478658519,126.788537263782,시흥시
45,54,경기,미사,경기도 하남시 아리수로 531 미사2동 행정복지센터 (망월동),경기도보건환경연구원,2020.0,37.5671830730789,127.186067879556,하남시
46,60,경기,보산동,경기 동두천시 싸리말로 28 보산동행정복지센터,경기도보건환경연구원,2006.0,37.9176426372764,127.061316992389,동두천시
47,62,경기,본오동,경기도 안산시 상록구 오목로7길 15 본오1동 작은도서관 (본오동),경기도보건환경연구원,1998.0,37.2892643238539,126.864505545253,안산시상록구
48,67,경기,부림동,경기 안양시 동안구 시민대로 235 안양시청 민원실,경기도보건환경연구원,1998.0,37.3942980869639,126.956858356687,안양시동안구
49,68,경기,부발읍,경기도 이천시 부발읍 무촌로 117 부발보건지소 옥상,경기도보건환경연구원,2019.0,37.2832844074694,127.486656096576,이천시
50,72,경기,상대원동,경기 성남시 중원구 둔촌대로 425 상대원1동행정복지센터,경기도보건환경연구원,2008.0,37.4332105671312,127.164383769366,성남시중원구
51,75,경기,선단동,경기 포천시 삼육사로 2186번길 11-15 선단보건지소,경기도보건환경연구원,2004.0,37.8541560902089,127.159162625756,포천시
52,78,경기,소하동,경기 광명시 소하일로 7 소하도서관,경기도보건환경연구원,1998.0,37.4454588390211,126.887992771261,광명시
53,80,경기,송산3동,경기도 의정부시 민락로243번길 94 푸른마당 근린공원 인근 연결녹지(송양유치원과 민락천 사이) (민락동),경기도보건환경연구원,2020.0,37.7476304009553,127.106836949527,의정부시
54,81,경기,수내동,경기 성남시 분당구 분당로 50 분당구청,경기도보건환경연구원,2003.0,37.3826312209875,127.118955311185,성남시분당구
55,82,경기,수지,경기 용인시 수지구 수지로 342번길3 풍덕천1동주민자치센터,경기도보건환경연구원,2005.0,37.3279574101003,127.095028732286,용인시수지구
56,84,경기,식사동,경기 고양시 일산동구 위시티로 151 양일초등학교,경기도보건환경연구원,2002.0,37.6853441200697,126.813609451696,고양시일산동구
57,85,경기,신원동,경기 고양시 덕양구 신원2로 24 신원도서관,경기도보건환경연구원,2015.0,37.6663812292634,126.886357964454,고양시덕양구
58,87,경기,신풍동,경기 수원시 팔달구 신풍로 23번길 68 선경도서관,경기도보건환경연구원,1986.0,37.2838622883287,127.010432152228,수원시팔달구
59,88,경기,안양2동,경기 안양시 만안구 안양로 384번길 50 안양2동 행정복지센터,경기도보건환경연구원,2004.0,37.4050865997381,126.917831990321,안양시만안구
60,91,경기,양평읍,경기도 양평군 양평읍 마유산로 17 양평군보건소 옥상,경기도보건환경연구원,2020.0,37.4970350781635,127.48668110758,양평군
61,92,경기,연천,경기 연천군 연천읍 차현로 58 연천군청 지역경제과,경기도보건환경연구원,2010.0,38.0964663433964,127.07627458821,연천군
62,95,경기,오산동,경기 오산시 경기동로 51 오산고용복지플러스센터,경기도보건환경연구원,2000.0,37.1588828017874,127.077316212246,오산시
63,116,경기,주엽동,경기도 고양시 일산서구 주엽로 104 주엽어린이도서관 (주엽동),경기도보건환경연구원,2018.0,37.6684631292165,126.756504603614,고양시일산서구
64,122,경기,천천동,경기 수원시 장안구 서부로 2066 성균관대학교 제2공학관,경기도보건환경연구원,2003.0,37.2959755681328,126.974208675283,수원시장안구
65,136,인천,계산,인천 계양구 계양산로134번길 18(계산동) 계양도서관 옥상,인천광역시보건환경연구원,,37.5460036103084,126.730110081149,계양구
66,137,인천,고잔,인천 남동구 은봉로 82 인천지방중소벤처기업청옥상,인천광역시보건환경연구원,,37.4096749083189,126.699284060833,남동구
67,139,인천,길상,인천 강화군 길상면 강화동로 15-1 길상면보건지소 2층,인천광역시보건환경연구원,2019.0,37.6404819881486,126.49124094877,강화군
68,141,인천,동춘,인천 연수구 원인재로 115(동춘동) 연수구의회 옥상,인천광역시보건환경연구원,,37.409493814977,126.678337878586,연수구
69,142,인천,부평,인천 부평구 부평대로88번길 19(부평동) 인천부평동초등학교 옥상,인천광역시보건환경연구원,,37.4995139810487,126.724408311262,부평구
70,149,인천,숭의,인천 미추홀구 독정안길 26 용정초등학교,인천광역시보건환경연구원,,37.4594369848285,126.657235030997,미추홀구
71,154,인천,영흥,인천광역시 옹진군 영흥면 영흥로251번길 90 영흥 면사무소 2층 옥상 (영흥면사무소),인천광역시보건환경연구원,2019.0,37.2560979345935,126.483342493643,옹진군
72,160,강원,갈말읍,강원특별자치도 철원군 갈말읍 삼부연로 51 철원군청,강원특별자치도보건환경연구원,2018.0,38.1467630109648,127.313401631163,철원군
73,161,강원,금호동,강원특별자치도 속초시 중앙시장로 43 금호동주민센터 (중앙동),강원특별자치도보건환경연구원,2018.0,38.2069455941329,128.588234732383,속초시
74,162,강원,남양동1,강원특별자치도 삼척시 남양길 11(남양동 331-9) 남양동주민센터 3층 옥상,강원특별자치도보건환경연구원,2006.0,37.4426389474352,129.168368356744,삼척시
75,163,강원,문막읍,강원특별자치도 원주시 문막읍 건등로 11 문막읍행정복지센터 부지내 지상,강원특별자치도보건환경연구원,2018.0,37.3129269413822,127.817376661339,원주시
76,165,강원,상리,강원특별자치도 고성군 간성읍 수성로 160 상리 측정소,강원특별자치도보건환경연구원,2018.0,38.3811881320898,128.463724651809,고성군
77,166,강원,석사동,강원특별자치도 춘천시 외솔길 17(석사동 322-1) 강원도 개발공사 2층 옥상,강원특별자치도보건환경연구원,2007.0,37.8571095194872,127.749889000911,춘천시
78,168,강원,양구읍,강원특별자치도 양구군 양구읍 관공서로 33 양구읍 측정소,강원특별자치도보건환경연구원,2018.0,38.1092027722289,127.98982925358,양구군
79,169,강원,양양읍,강원특별자치도 양양군 양양읍 남문로 39 양양군 군의회 옥상,강원특별자치도보건환경연구원,2018.0,38.0750005730199,128.618361253123,양양군
80,170,강원,영월읍,강원특별자치도 영월군 영월읍 팔괴로 7-3 능동배수펌프장 부지내 지상,강원특별자치도보건환경연구원,2018.0,37.1725797049881,128.455308225328,영월군
81,171,강원,옥천동,강원특별자치도 강릉시 경강로 2179(옥천동 327-2) 옥천동주민센터 2층 옥상,강원특별자치도보건환경연구원,1995.0,37.760146421684,128.902901137286,강릉시
82,172,강원,우천면,강원특별자치도 횡성군 우천면 우항1길 5-34 우천보건지소 옥상,강원특별자치도보건환경연구원,2022.0,37.459744773006,128.063149729537,횡성군
